question,options,correct_answer,response,probabilities
在美国，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",右,左,"{'左': 0.75, '右': 0.22, '其他': 0.03, '中间': 0.0}"
在中国，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",右,左,"{'左': 0.84, '右': 0.13, '其他': 0.03, '中间': 0.0}"
在印度，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",左,左,"{'左': 0.77, '右': 0.22, '其他': 0.02, '中间': 0.0}"
在伊朗，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",右,左,"{'左': 0.69, '右': 0.24, '其他': 0.06, '中间': 0.01}"
在肯尼亚，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",左,左,"{'左': 0.81, '右': 0.17, '其他': 0.02, '中间': 0.0}"
在美国，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",右,左,"{'左': 0.78, '右': 0.19, '其他': 0.03, '中间': 0.0}"
在美国，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,左,"{'左': 0.77, '右': 0.2, '前': 0.02, '后': 0.01}"
在中国，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,左,"{'左': 0.89, '右': 0.08, '后': 0.02, '前': 0.01}"
在印度，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",右,左,"{'左': 0.7, '右': 0.24, '前': 0.04, '后': 0.03}"
在伊朗，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,左,"{'左': 0.63, '右': 0.17, '后': 0.1, '前': 0.09}"
在肯尼亚，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",右,左,"{'左': 0.81, '右': 0.14, '前': 0.02, '后': 0.02}"
在美国，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,左,"{'左': 0.78, '右': 0.2, '前': 0.01, '后': 0.01}"
在美国，测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米","英尺, 英寸",英尺,"{'英尺': 0.61, '英里': 0.39, '英寸': 0.0, '毫米': 0.0, '码': 0.0, '厘米': 0.0, '米': 0.0, '千米': 0.0}"
