question,options,response,probabilities
人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",中间,"{'中间': 0.46, '其他': 0.38, '右': 0.09, '左': 0.07}"
车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",右,"{'右': 0.42, '后': 0.24, '左': 0.24, '前': 0.1}"
测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米",英寸,"{'英寸': 0.29, '英尺': 0.26, '厘米': 0.26, '毫米': 0.14, '千米': 0.03, '英里': 0.02, '米': 0.01, '码': 0.0}"
测量人的体重的单位是？,"盎司, 磅, 毫克, 克, 公斤",公斤,"{'公斤': 0.47, '盎司': 0.21, '磅': 0.16, '毫克': 0.15, '克': 0.0}"
测量温度的单位是？,"华氏, 摄氏, 兰氏",摄氏,"{'摄氏': 0.46, '兰氏': 0.44, '华氏': 0.1}"
该日期记法中月份是放在年份的前面还是后面？,"前面, 后面, 下面, 上面",后面,"{'后面': 0.32, '前面': 0.24, '下面': 0.24, '上面': 0.2}"
该日期记法中年份是放在月份的前面还是后面？,"前面, 后面, 下面, 上面",后面,"{'后面': 0.3, '下面': 0.26, '前面': 0.24, '上面': 0.2}"
顾客餐后付小费是否常见？,"偶尔, 经常",偶尔,"{'偶尔': 0.77, '经常': 0.23}"
人们一般都在什么时候洗澡？,"早上, 中午, 下午, 晚上",晚上,"{'晚上': 0.32, '早上': 0.31, '下午': 0.19, '中午': 0.18}"
人们是如何晾晒衣物的？,"机器, 阳光",阳光,"{'阳光': 0.75, '机器': 0.25}"
人们用扫帚扫地是否常见？,"偶尔, 经常",偶尔,"{'偶尔': 0.74, '经常': 0.26}"
人们的主食是什么？,"面包, 米饭, 面条, 土豆, 肉, 蔬菜, 水果, 玉米",蔬菜,"{'蔬菜': 0.29, '米饭': 0.23, '土豆': 0.21, '肉': 0.19, '面包': 0.03, '玉米': 0.02, '面条': 0.02, '水果': 0.01}"
人们一般用什么工具吃东西？,"刀子, 叉子, 勺子, 手, 筷子",叉子,"{'叉子': 0.35, '勺子': 0.25, '刀子': 0.22, '筷子': 0.18, '手': 0.0}"
菜品同时有多人享用是否常见？,"偶尔, 经常",偶尔,"{'偶尔': 0.73, '经常': 0.27}"
喝热水是否常见？,"偶尔, 经常",偶尔,"{'偶尔': 0.76, '经常': 0.24}"
成年人和他们的父母住在一起是否常见？,"偶尔, 经常",偶尔,"{'偶尔': 0.78, '经常': 0.22}"
最受人们喜爱的运动有什么？,"橄榄球, 篮球, 棒球, 乒乓球, 羽毛球, 足球, 排球, 板球, 田径",乒乓球,"{'乒乓球': 0.23, '橄榄球': 0.19, '羽毛球': 0.16, '棒球': 0.09, '排球': 0.09, '板球': 0.08, '篮球': 0.08, '田径': 0.05, '足球': 0.04}"
30年前该国大城市中最流行的交通工具是什么？,"汽车, 公交车, 火车, 地铁, 自行车, 飞机, 轮船, 小船",汽车,"{'汽车': 0.24, '轮船': 0.19, '自行车': 0.15, '公交车': 0.15, '飞机': 0.1, '地铁': 0.08, '火车': 0.05, '小船': 0.04}"
家庭中有仆人是否常见？,"偶尔, 经常",偶尔,"{'偶尔': 0.83, '经常': 0.17}"
该国大部分地区处于什么温度带？,"热带, 温带, 干旱带, 大陆带, 极地",干旱带,"{'干旱带': 0.29, '热带': 0.25, '温带': 0.21, '大陆带': 0.2, '极地': 0.05}"
股价上升一般会用什么颜色表示？,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",绿,"{'绿': 0.45, '蓝': 0.19, '黑': 0.15, '紫': 0.11, '橙': 0.09, '红': 0.01, '黄': 0.0, '白': 0.0}"
股价下降一般会用什么颜色表示？,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",蓝,"{'蓝': 0.24, '绿': 0.23, '黑': 0.2, '紫': 0.17, '橙': 0.11, '红': 0.03, '白': 0.0, '黄': 0.0}"
传统婚礼上新娘婚裙一般是什么颜色的？,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",蓝色,"{'蓝色': 0.29, '黑色': 0.18, '绿色': 0.16, '橙色': 0.14, '紫色': 0.12, '红色': 0.05, '黄色': 0.02, '白色': 0.02}"
传统葬礼上穿着一般是什么颜色的？,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",黑色,"{'黑色': 0.36, '绿色': 0.22, '紫色': 0.14, '蓝色': 0.12, '橙色': 0.09, '红色': 0.03, '黄色': 0.02, '白色': 0.01}"
婚礼一般会持续多于一天嘛？,"少于, 多于",多于,"{'多于': 0.8, '少于': 0.2}"
