question,answer,candidate_answers,context,country
अमेरिका में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,दायें,"बाएं, दायें, मध्यम, कहीं भी",keep left/right,us
चीन में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,दायें,"बाएं, दायें, मध्यम, कहीं भी",keep left/right,china
भारत में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,बाएं,"बाएं, दायें, मध्यम, कहीं भी",keep left/right,india
ईरान में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,दायें,"बाएं, दायें, मध्यम, कहीं भी",keep left/right,iran
केन्या में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,बाएं,"बाएं, दायें, मध्यम, कहीं भी",keep left/right,kenya
अमेरिका में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,दायें,"बाएं, दायें, मध्यम, कहीं भी",keep left/right,greece
अमेरिका में ड्राइवर की सीट कार के किस तरफ होती है?,बाएं,"बाएं, दायें, आगे, पीछे",driver seat,us
चीन में ड्राइवर की सीट कार के किस तरफ होती है?,बाएं,"बाएं, दायें, आगे, पीछे",driver seat,china
भारत में ड्राइवर की सीट कार के किस तरफ होती है?,दायें,"बाएं, दायें, आगे, पीछे",driver seat,india
ईरान में ड्राइवर की सीट कार के किस तरफ होती है?,बाएं,"बाएं, दायें, आगे, पीछे",driver seat,iran
केन्या में ड्राइवर की सीट कार के किस तरफ होती है?,दायें,"बाएं, दायें, आगे, पीछे",driver seat,kenya
अमेरिका में ड्राइवर की सीट कार के किस तरफ होती है?,बाएं,"बाएं, दायें, आगे, पीछे",driver seat,greece
अमेरिका में ऊंचाई मापने की इकाई क्या है?,"इंच, फीट","फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर",measurement unit,us
चीन में ऊंचाई मापने की इकाई क्या है?,"सेंटीमीटर, मीटर","फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर",measurement unit,china
