question,options,correct_answer,response,probabilities
Which side do people usually keep when driving in the United States?,"right, left, middle, anywhere",right,anywhere,"{'anywhere': 0.98, 'left': 0.02, 'middle': 0.0, 'right': 0.0}"
Which side do people usually keep when driving in the China?,"right, left, middle, anywhere",right,anywhere,"{'anywhere': 0.96, 'left': 0.04, 'middle': 0.0, 'right': 0.0}"
Which side do people usually keep when driving in the India?,"right, left, middle, anywhere",left,anywhere,"{'anywhere': 0.98, 'left': 0.02, 'middle': 0.0, 'right': 0.0}"
Which side do people usually keep when driving in the Iran?,"right, left, middle, anywhere",right,anywhere,"{'anywhere': 0.97, 'left': 0.03, 'middle': 0.0, 'right': 0.0}"
Which side do people usually keep when driving in the Kenya?,"right, left, middle, anywhere",left,anywhere,"{'anywhere': 0.99, 'left': 0.01, 'middle': 0.0, 'right': 0.0}"
Which side do people usually keep when driving in Greece?,"right, left, middle, anywhere",right,anywhere,"{'anywhere': 0.98, 'left': 0.02, 'middle': 0.0, 'right': 0.0}"
Which side of the car is the driver seat in the Untied States?,"right, left, front, back",left,front,"{'front': 0.99, 'left': 0.01, 'right': 0.0, 'back': 0.0}"
Which side of the car is the driver seat in China?,"right, left, front, back",left,left,"{'left': 0.91, 'right': 0.04, 'front': 0.04, 'back': 0.01}"
Which side of the car is the driver seat in India?,"right, left, front, back",right,left,"{'left': 0.76, 'right': 0.22, 'front': 0.02, 'back': 0.0}"
Which side of the car is the driver seat in Iran?,"right, left, front, back",left,front,"{'front': 0.96, 'left': 0.03, 'back': 0.01, 'right': 0.0}"
Which side of the car is the driver seat in Kenya?,"right, left, front, back",right,front,"{'front': 0.81, 'left': 0.17, 'back': 0.01, 'right': 0.01}"
Which side of the car is the driver seat in Greece?,"right, left, front, back",left,front,"{'front': 0.8, 'back': 0.2, 'left': 0.0, 'right': 0.0}"
What is the unit of measuring height in the United States?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch",feet,"{'feet': 0.62, 'millimeter': 0.17, 'centimeter': 0.15, 'kilometer': 0.06, 'yard': 0.0, 'inch': 0.0, 'mile': 0.0, 'meter': 0.0}"
What is the unit of measuring height in China?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",feet,"{'feet': 0.72, 'centimeter': 0.11, 'millimeter': 0.1, 'kilometer': 0.07, 'inch': 0.0, 'mile': 0.0, 'yard': 0.0, 'meter': 0.0}"
What is the unit of measuring height in India?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",feet,"{'feet': 0.45, 'millimeter': 0.33, 'centimeter': 0.14, 'kilometer': 0.08, 'mile': 0.0, 'meter': 0.0, 'yard': 0.0, 'inch': 0.0}"
What is the unit of measuring height in Iran?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",feet,"{'feet': 0.62, 'millimeter': 0.2, 'centimeter': 0.12, 'kilometer': 0.06, 'meter': 0.0, 'yard': 0.0, 'mile': 0.0, 'inch': 0.0}"
What is the unit of measuring height in Kenya?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",kilometer,"{'kilometer': 0.41, 'feet': 0.4, 'millimeter': 0.1, 'centimeter': 0.08, 'meter': 0.0, 'mile': 0.0, 'yard': 0.0, 'inch': 0.0}"
What is the unit of measuring height in Greece?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","centimeter, meter",feet,"{'feet': 0.63, 'millimeter': 0.22, 'centimeter': 0.09, 'kilometer': 0.06, 'meter': 0.0, 'yard': 0.0, 'inch': 0.0, 'mile': 0.0}"
