question,answer,candidate_answers,context,country
Which side do people usually keep when driving in the United States?,right,"right, left, middle, anywhere",keep left/right,us
Which side do people usually keep when driving in the China?,right,"right, left, middle, anywhere",keep left/right,china
Which side do people usually keep when driving in the India?,left,"right, left, middle, anywhere",keep left/right,india
Which side do people usually keep when driving in the Iran?,right,"right, left, middle, anywhere",keep left/right,iran
Which side do people usually keep when driving in the Kenya?,left,"right, left, middle, anywhere",keep left/right,kenya
Which side do people usually keep when driving in Greece?,right,"right, left, middle, anywhere",keep left/right,greece
Which side of the car is the driver seat in the Untied States?,left,"right, left, front, back",driver seat,us
Which side of the car is the driver seat in China?,left,"right, left, front, back",driver seat,china
Which side of the car is the driver seat in India?,right,"right, left, front, back",driver seat,india
Which side of the car is the driver seat in Iran?,left,"right, left, front, back",driver seat,iran
Which side of the car is the driver seat in Kenya?,right,"right, left, front, back",driver seat,kenya
Which side of the car is the driver seat in Greece?,left,"right, left, front, back",driver seat,greece
What is the unit of measuring height in the United States?,"feet, inch","feet, inch, yard, mile, millimeter, centimeter, meter, kilometer",measurement unit,us
What is the unit of measuring height in China?,"meter, centimeter","feet, inch, yard, mile, millimeter, centimeter, meter, kilometer",measurement unit,china
What is the unit of measuring height in India?,"feet, inch, meter, centimeter","feet, inch, yard, mile, millimeter, centimeter, meter, kilometer",measurement unit,india
What is the unit of measuring height in Iran?,"meter, centimeter","feet, inch, yard, mile, millimeter, centimeter, meter, kilometer",measurement unit,iran
What is the unit of measuring height in Kenya?,"feet, inch, meter, centimeter","feet, inch, yard, mile, millimeter, centimeter, meter, kilometer",measurement unit,kenya
What is the unit of measuring height in Greece?,"centimeter, meter","feet, inch, yard, mile, millimeter, centimeter, meter, kilometer",measurement unit,greece
What is the unit of measuring weight in the United States?,pound,"ounce, pound, miligram, gram, kilogram",measurement unit,us
What is the unit of measuring weight in China?,kilogram,"ounce, pound, miligram, gram, kilogram",measurement unit,china
What is the unit of measuring weight in India?,kilogram,"ounce, pound, miligram, gram, kilogram",measurement unit,india
What is the unit of measuring weight in Iran?,kilogram,"ounce, pound, miligram, gram, kilogram",measurement unit,iran
What is the unit of measuring weight in Kenya?,kilogram,"ounce, pound, miligram, gram, kilogram",measurement unit,kenya
What is the unit of measuring weight in Greece?,kilogram,"ounce, pound, miligram, gram, kilogram",measurement unit,greece
What is the unit of measuring temperature in the United States?,Fahrenheit,"Fahrenheit, Celsius, Rankine",measurement unit,us
What is the unit of measuring temperature in China?,Celsius,"Fahrenheit, Celsius, Rankine",measurement unit,china
What is the unit of measuring temperature in India?,Celsius,"Fahrenheit, Celsius, Rankine",measurement unit,india
What is the unit of measuring temperature in Iran?,Celsius,"Fahrenheit, Celsius, Rankine",measurement unit,iran
What is the unit of measuring temperature in Kenya?,Celsius,"Fahrenheit, Celsius, Rankine",measurement unit,kenya
What is the unit of measuring temperature in Greece?,Celsius,"Fahrenheit, Celsius, Rankine",measurement unit,greece
"In United States, does the month appear before/after the year in the date format?",before,"before, after, below, above",date format,us
"In China, does the month appear before/after the year in the date format?",after,"before, after, below, above",date format,china
"In India, does the month appear before/after the year in the date format?",before,"before, after, below, above",date format,india
"In Iran, does the month appear before/after the year in the date format?",before,"before, after, below, above",date format,iran
"In Kenya, does the month appear before/after the year in the date format?",before,"before, after, below, above",date format,kenya
"In Greece, does the month appear before/after the year in the date format?",before,"before, after, below, above",date format,greece
"In United States, does the year appear before/after the month in the date format?",after,"before, after, below, above",date format,us
"In China, does the year appear before/after the month in the date format?",before,"before, after, below, above",date format,china
"In India, does the year appear before/after the month in the date format?",after,"before, after, below, above",date format,india
"In Iran, does the year appear before/after the month in the date format?",after,"before, after, below, above",date format,iran
"In Kenya, does the year appear before/after the month in the date format?",after,"before, after, below, above",date format,kenya
"In Greece, does the year appear before/after the month in the date format?",after,"before, after, below, above",date format,greece
"In United States, is it rare or common that customers pay tips after a meal?",common,"rare, common",payment,us
"In China, is it rare or common that customers pay tips after a meal?",rare,"rare, common",payment,china
