question,answer,candidate_answers,context,country
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στις Ηνωμένες Πολιτίεες;,Δεξιά,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",keep left/right,us
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στην Κίνα;,Δεξιά,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",keep left/right,china
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στην Ινδία;,Αριστερά,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",keep left/right,india
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στο Ιράν;,Δεξιά,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",keep left/right,iran
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στην Κένυα;,Αριστερά,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",keep left/right,kenya
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στις Ηνωμένες Πολιτίεες;,δεξιά,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",keep left/right,greece
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στις Ηνωμένες Πολιτείες;,Αριστερά,"Δεξιά, αριστερά, μπροστά, πίσω",driver seat,us
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στην Κίνα;,Αριστερά,"Δεξιά, αριστερά, μπροστά, πίσω",driver seat,china
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στην Ινδία;,Δεξιά,"Δεξιά, αριστερά, μπροστά, πίσω",driver seat,india
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στο Ιράν;,Αριστερά,"Δεξιά, αριστερά, μπροστά, πίσω",driver seat,iran
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στην Κένυα;,Δεξιά,"Δεξιά, αριστερά, μπροστά, πίσω",driver seat,kenya
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στις Ηνωμένες Πολιτείες;,αριστερά,"Δεξιά, αριστερά, μπροστά, πίσω",driver seat,greece
Ποια είναι η μονάδα μέτρησης του ύψους στις Ηνωμένες Πολιτείες;,"πόδια, ίντσες","πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο",measurement unit,us
Ποια είναι η μονάδα μέτρησης του ύψους στην Κίνα;,"μέτρο, εκατοστά","πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο",measurement unit,china
Ποια είναι η μονάδα μέτρησης του ύψους στην Ινδία;,"πόδια, ίντσες, μέτρα, εκατοστά","πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο",measurement unit,india
Ποια είναι η μονάδα μέτρησης του ύψους στο Ιράν;,"μέτρα, εκατοστά","πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο",measurement unit,iran
Ποια είναι η μονάδα μέτρησης του ύψους στην Κένυα;,"πόδια, ίντσες, μέτρα, εκατοστά","πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο",measurement unit,kenya
Ποια είναι η μονάδα μέτρησης του ύψους στις Ηνωμένες Πολιτείες;,"μέτρο, εκατοστά","πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο",measurement unit,greece
Ποια είναι η μονάδα μέτρησης βάρους στις Ηνωμένες Πολιτείες;,λίβρα,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",measurement unit,us
