question,options,correct_answer,response,probabilities
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στις Ηνωμένες Πολιτίεες;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",Δεξιά,οπουδήποτε.,"{'οπουδήποτε.': 0.32, 'αριστερά': 0.3, 'στο κέντρο': 0.27, 'Δεξιά': 0.11}"
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στην Κίνα;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",Δεξιά,οπουδήποτε.,"{'οπουδήποτε.': 0.32, 'αριστερά': 0.31, 'στο κέντρο': 0.26, 'Δεξιά': 0.11}"
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στην Ινδία;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",Αριστερά,αριστερά,"{'αριστερά': 0.31, 'οπουδήποτε.': 0.31, 'στο κέντρο': 0.26, 'Δεξιά': 0.11}"
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στο Ιράν;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",Δεξιά,οπουδήποτε.,"{'οπουδήποτε.': 0.31, 'αριστερά': 0.31, 'στο κέντρο': 0.26, 'Δεξιά': 0.12}"
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στην Κένυα;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",Αριστερά,οπουδήποτε.,"{'οπουδήποτε.': 0.32, 'αριστερά': 0.31, 'στο κέντρο': 0.26, 'Δεξιά': 0.11}"
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στις Ηνωμένες Πολιτίεες;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",δεξιά,οπουδήποτε.,"{'οπουδήποτε.': 0.32, 'αριστερά': 0.31, 'στο κέντρο': 0.26, 'Δεξιά': 0.11}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στις Ηνωμένες Πολιτείες;,"Δεξιά, αριστερά, μπροστά, πίσω",Αριστερά,αριστερά,"{'αριστερά': 0.5, 'μπροστά': 0.28, 'Δεξιά': 0.17, 'πίσω': 0.05}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στην Κίνα;,"Δεξιά, αριστερά, μπροστά, πίσω",Αριστερά,αριστερά,"{'αριστερά': 0.52, 'μπροστά': 0.27, 'Δεξιά': 0.16, 'πίσω': 0.05}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στην Ινδία;,"Δεξιά, αριστερά, μπροστά, πίσω",Δεξιά,αριστερά,"{'αριστερά': 0.51, 'μπροστά': 0.28, 'Δεξιά': 0.17, 'πίσω': 0.05}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στο Ιράν;,"Δεξιά, αριστερά, μπροστά, πίσω",Αριστερά,αριστερά,"{'αριστερά': 0.49, 'μπροστά': 0.28, 'Δεξιά': 0.17, 'πίσω': 0.05}"
