question,options,response,probabilities
رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",هرجا,"{'هرجا': 0.4, 'راست': 0.34, 'وسط': 0.2, 'چپ': 0.07}"
صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",راست,"{'راست': 0.46, 'جلو': 0.24, 'عقب': 0.23, 'چپ': 0.07}"
برای اندازه گیری ارتفاع از چه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل",کیلومتر,"{'کیلومتر': 0.28, 'سانتی متر': 0.24, 'میلی متر': 0.17, 'یارد': 0.09, 'اینچ': 0.08, 'متر': 0.05, 'فوت': 0.05, 'مایل': 0.04}"
برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,"اونس, پوند, میلی گرم, گرم, کیلوگرم",کیلوگرم,"{'میلی گرم': 0.33, 'کیلوگرم': 0.33, 'پوند': 0.14, 'اونس': 0.13, 'گرم': 0.06}"
برای اندازه گیری دما ازچه واحدی استفاده می شود؟,"فارنهایت, سلسیوس, رانکین",فارنهایت,"{'فارنهایت': 0.47, 'رانکین': 0.28, 'سلسیوس': 0.25}"
در فرمت تاریخ  ماه قبل یا بعد از سال می آید؟,"قبل, بعد, زیر, بالا",بالا,"{'بالا': 0.29, 'بعد': 0.27, 'زیر': 0.24, 'قبل': 0.21}"
در فرمت تاریخ  سال قبل یا بعد از ماه می آید؟,"قبل, بعد, زیر, بالا",بعد,"{'بالا': 0.27, 'بعد': 0.27, 'زیر': 0.23, 'قبل': 0.23}"
آیا  پرداخت انعام بعد از غذا رایج است؟,"رایج, نادر",نادر,"{'نادر': 0.55, 'رایج': 0.45}"
ها اغلب چه زمانی دوش می گیرند؟,"صبح, ظهر, بعد از ظهر, عصر",بعد از ظهر,"{'بعد از ظهر': 0.79, 'صبح': 0.1, 'عصر': 0.07, 'ظهر': 0.04}"
ها اغلب چگونه  لباس های خیس را خشک می کنند؟,"ماشین خشک کن, خورشید",ماشین خشک کن,"{'ماشین خشک کن': 0.66, 'خورشید': 0.34}"
