question,options,response,probabilities
人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",左,"{'左': 0.88, '右': 0.11, '其他': 0.01, '中间': 0.0}"
车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,"{'左': 0.59, '右': 0.3, '后': 0.07, '前': 0.05}"
测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米",英尺,"{'英尺': 0.57, '英里': 0.41, '米': 0.01, '厘米': 0.01, '千米': 0.0, '英寸': 0.0, '码': 0.0, '毫米': 0.0}"
测量人的体重的单位是？,"盎司, 磅, 毫克, 克, 公斤",毫克,"{'毫克': 0.54, '盎司': 0.18, '公斤': 0.15, '磅': 0.08, '克': 0.05}"
测量温度的单位是？,"华氏, 摄氏, 兰氏",华氏,"{'华氏': 0.61, '摄氏': 0.33, '兰氏': 0.07}"
该日期记法中月份是放在年份的前面还是后面？,"前面, 后面, 下面, 上面",下面,"{'下面': 0.72, '前面': 0.12, '后面': 0.12, '上面': 0.03}"
该日期记法中年份是放在月份的前面还是后面？,"前面, 后面, 下面, 上面",下面,"{'下面': 0.85, '后面': 0.09, '上面': 0.03, '前面': 0.02}"
顾客餐后付小费是否常见？,"偶尔, 经常",经常,"{'经常': 0.82, '偶尔': 0.18}"
人们一般都在什么时候洗澡？,"早上, 中午, 下午, 晚上",早上,"{'早上': 0.53, '晚上': 0.32, '下午': 0.14, '中午': 0.0}"
人们是如何晾晒衣物的？,"机器, 阳光",阳光,"{'阳光': 0.94, '机器': 0.06}"
人们用扫帚扫地是否常见？,"偶尔, 经常",经常,"{'经常': 0.87, '偶尔': 0.13}"
人们的主食是什么？,"面包, 米饭, 面条, 土豆, 肉, 蔬菜, 水果, 玉米",米饭,"{'米饭': 0.48, '面包': 0.26, '面条': 0.15, '肉': 0.06, '水果': 0.02, '蔬菜': 0.02, '玉米': 0.01, '土豆': 0.01}"
人们一般用什么工具吃东西？,"刀子, 叉子, 勺子, 手, 筷子",筷子,"{'筷子': 0.35, '勺子': 0.21, '叉子': 0.2, '刀子': 0.18, '手': 0.06}"
菜品同时有多人享用是否常见？,"偶尔, 经常",经常,"{'经常': 0.86, '偶尔': 0.14}"
喝热水是否常见？,"偶尔, 经常",经常,"{'经常': 0.88, '偶尔': 0.12}"
成年人和他们的父母住在一起是否常见？,"偶尔, 经常",经常,"{'经常': 0.93, '偶尔': 0.07}"
最受人们喜爱的运动有什么？,"橄榄球, 篮球, 棒球, 乒乓球, 羽毛球, 足球, 排球, 板球, 田径",棒球,"{'棒球': 0.34, '排球': 0.19, '橄榄球': 0.17, '田径': 0.15, '羽毛球': 0.05, '篮球': 0.04, '足球': 0.03, '板球': 0.03, '乒乓球': 0.01}"
30年前该国大城市中最流行的交通工具是什么？,"汽车, 公交车, 火车, 地铁, 自行车, 飞机, 轮船, 小船",小船,"{'小船': 0.51, '轮船': 0.23, '汽车': 0.12, '飞机': 0.08, '地铁': 0.04, '自行车': 0.01, '公交车': 0.0, '火车': 0.0}"
家庭中有仆人是否常见？,"偶尔, 经常",经常,"{'经常': 0.67, '偶尔': 0.33}"
该国大部分地区处于什么温度带？,"热带, 温带, 干旱带, 大陆带, 极地",温带,"{'温带': 0.44, '极地': 0.39, '大陆带': 0.07, '干旱带': 0.05, '热带': 0.05}"
股价上升一般会用什么颜色表示？,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",黄,"{'黄': 0.3, '红': 0.3, '橙': 0.17, '蓝': 0.1, '黑': 0.06, '绿': 0.04, '紫': 0.03, '白': 0.01}"
股价下降一般会用什么颜色表示？,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",蓝,"{'蓝': 0.26, '绿': 0.2, '红': 0.17, '黑': 0.17, '黄': 0.12, '橙': 0.04, '白': 0.02, '紫': 0.01}"
传统婚礼上新娘婚裙一般是什么颜色的？,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",橙色,"{'橙色': 0.42, '红色': 0.21, '蓝色': 0.13, '黄色': 0.13, '白色': 0.05, '黑色': 0.02, '紫色': 0.02, '绿色': 0.01}"
传统葬礼上穿着一般是什么颜色的？,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",白色,"{'白色': 0.3, '橙色': 0.22, '黄色': 0.19, '黑色': 0.12, '红色': 0.11, '蓝色': 0.03, '紫色': 0.01, '绿色': 0.01}"
婚礼一般会持续多于一天嘛？,"少于, 多于",多于,"{'多于': 0.76, '少于': 0.24}"
