question,options,correct_answer,response,probabilities
در ایالت متحده آمریکا رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",راست,راست,"{'راست': 0.49, 'هرجا': 0.39, 'وسط': 0.08, 'چپ': 0.04}"
در چین رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",راست,راست,"{'راست': 0.49, 'هرجا': 0.39, 'وسط': 0.08, 'چپ': 0.04}"
در هند رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",چپ,راست,"{'راست': 0.58, 'هرجا': 0.26, 'وسط': 0.1, 'چپ': 0.05}"
در ایران رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",راست,راست,"{'راست': 0.5, 'هرجا': 0.36, 'وسط': 0.09, 'چپ': 0.05}"
در کنیا رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",چپ,راست,"{'راست': 0.47, 'هرجا': 0.41, 'وسط': 0.08, 'چپ': 0.05}"
در ایالت متحده آمریکا رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",راست,راست,"{'راست': 0.55, 'هرجا': 0.33, 'وسط': 0.08, 'چپ': 0.04}"
در ایالت متحده آمریکا صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",چپ,راست,"{'راست': 0.55, 'جلو': 0.23, 'عقب': 0.17, 'چپ': 0.06}"
در چین صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",چپ,راست,"{'راست': 0.53, 'جلو': 0.22, 'عقب': 0.18, 'چپ': 0.06}"
در هند صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",راست,راست,"{'راست': 0.5, 'جلو': 0.23, 'عقب': 0.21, 'چپ': 0.06}"
در ایران صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",چپ,راست,"{'راست': 0.49, 'جلو': 0.26, 'عقب': 0.19, 'چپ': 0.06}"
در کنیا صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",راست,راست,"{'راست': 0.52, 'جلو': 0.24, 'عقب': 0.19, 'چپ': 0.06}"
در ایالت متحده آمریکا صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",چپ,راست,"{'راست': 0.53, 'جلو': 0.23, 'عقب': 0.18, 'چپ': 0.06}"
در ایالت متحده آمریکا برای اندازه گیری ارتفاع از چه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل","اینچ, فوت",سانتی متر,"{'سانتی متر': 0.3, 'میلی متر': 0.26, 'کیلومتر': 0.2, 'اینچ': 0.06, 'یارد': 0.06, 'فوت': 0.04, 'مایل': 0.04, 'متر': 0.03}"
در چین برای اندازه گیری ارتفاع از چه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل","متر, سانتی متر",سانتی متر,"{'سانتی متر': 0.3, 'میلی متر': 0.26, 'کیلومتر': 0.21, 'اینچ': 0.07, 'یارد': 0.06, 'مایل': 0.04, 'فوت': 0.03, 'متر': 0.03}"
در هند برای اندازه گیری ارتفاع ازچه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل","اینچ, فوت, متر, سانتی متر",سانتی متر,"{'سانتی متر': 0.3, 'میلی متر': 0.26, 'کیلومتر': 0.2, 'اینچ': 0.06, 'یارد': 0.06, 'متر': 0.05, 'مایل': 0.04, 'فوت': 0.03}"
در ایران برای اندازه گیری ارتفاع ازچه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل","متر, سانتی متر",سانتی متر,"{'سانتی متر': 0.3, 'میلی متر': 0.26, 'کیلومتر': 0.21, 'اینچ': 0.07, 'یارد': 0.06, 'متر': 0.05, 'مایل': 0.04, 'فوت': 0.02}"
در کنیا برای اندازه گیری ارتفاع ازچه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل","اینچ, فوت, متر, سانتی متر",سانتی متر,"{'سانتی متر': 0.3, 'میلی متر': 0.25, 'کیلومتر': 0.22, 'اینچ': 0.06, 'متر': 0.05, 'یارد': 0.05, 'مایل': 0.04, 'فوت': 0.03}"
در ایالت متحده آمریکا برای اندازه گیری ارتفاع از چه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل","سانتی متر, کیلومتر",سانتی متر,"{'سانتی متر': 0.31, 'میلی متر': 0.26, 'کیلومتر': 0.2, 'یارد': 0.07, 'اینچ': 0.06, 'مایل': 0.04, 'فوت': 0.03, 'متر': 0.03}"
در ایالت متحده آمریکا برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,"اونس, پوند, میلی گرم, گرم, کیلوگرم",پوند,کیلوگرم,"{'کیلوگرم': 0.37, 'میلی گرم': 0.36, 'پوند': 0.11, 'اونس': 0.09, 'گرم': 0.06}"
در چین برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,"اونس, پوند, میلی گرم, گرم, کیلوگرم",کیلوگرم,میلی گرم,"{'میلی گرم': 0.38, 'کیلوگرم': 0.36, 'اونس': 0.1, 'پوند': 0.09, 'گرم': 0.06}"
در هند برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,"اونس, پوند, میلی گرم, گرم, کیلوگرم",کیلوگرم,میلی گرم,"{'کیلوگرم': 0.36, 'میلی گرم': 0.36, 'پوند': 0.12, 'اونس': 0.1, 'گرم': 0.06}"
در ایران برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,"اونس, پوند, میلی گرم, گرم, کیلوگرم",کیلوگرم,میلی گرم,"{'میلی گرم': 0.37, 'کیلوگرم': 0.35, 'پوند': 0.11, 'اونس': 0.1, 'گرم': 0.06}"
در کنیا برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,"اونس, پوند, میلی گرم, گرم, کیلوگرم",کیلوگرم,میلی گرم,"{'میلی گرم': 0.39, 'کیلوگرم': 0.36, 'اونس': 0.12, 'پوند': 0.08, 'گرم': 0.05}"
