question,options,response,probabilities
Watu hukaa upande gani wanapoendesha gari ?,"kulia, kushoto, katikati, popote",katikati,"{'katikati': 0.44, 'kulia': 0.32, 'kushoto': 0.24, 'popote': 0.0}"
Kiti cha dereva huwa upande gani wa gari ?,"kulia, kushoto, mbele, nyuma",kulia,"{'kulia': 0.55, 'kushoto': 0.45, 'mbele': 0.0, 'nyuma': 0.0}"
Kitengo kipi hutumika kupima urefu ?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita",sentimita,"{'sentimita': 0.5, 'milimita': 0.47, 'mita': 0.03, 'maili': 0.0, 'kilomita': 0.0, 'inchi': 0.0, 'yadi': 0.0, 'fiti': 0.0}"
Kitengo kipi hupima uzito ?,"wanzi, pauni, miligramuuu, gramu, kilogramu",kilogramu,"{'kilogramu': 0.83, 'miligramuuu': 0.14, 'gramu': 0.03, 'pauni': 0.0, 'wanzi': 0.0}"
Kitengo kipi hutumika kupima joto ?,"Fahrenheit, Celsius, Rankine",Celsius,"{'Celsius': 0.9, 'Fahrenheit': 0.06, 'Rankine': 0.05}"
"Nchini, mwezi huja kabla ama baada ya mwaka kwenye muundo wa tarehe?","kabla, baada, chini, juu",kabla,"{'kabla': 1.0, 'baada': 0.0, 'chini': 0.0, 'juu': 0.0}"
"Nchini, mwaka huja kabla ama baada ya mwezi kwenye muundo wa tarehe?","kabla, baada, chini, juu",kabla,"{'kabla': 0.99, 'chini': 0.0, 'baada': 0.0, 'juu': 0.0}"
"Nchini nchi, ni kawaida au nadra kwa wateja kutoa bakshishi baada ya maankuli?","nadra, kawaida",nadra,"{'nadra': 0.67, 'kawaida': 0.33}"
Ni wakati gani wa siku ambapo watu kwa kawaida huoga?,"asubuhi, adhuhuri, mchana, jioni",adhuhuri,"{'adhuhuri': 0.61, 'asubuhi': 0.39, 'mchana': 0.0, 'jioni': 0.0}"
Watu hukausha nguo zao kutumia nini?,"mashine, jua",mashine,"{'mashine': 1.0, 'jua': 0.0}"
Ni nadra au kawaida kwa watu kutumia ufagio kusafisha sakafu ?,"nadra, kawaida",nadra,"{'nadra': 0.79, 'kawaida': 0.21}"
Chakula kikuu  ni kipi?,"mkate, wali, tambi, viazi, nyama, mboga, tunda, mahindi",tambi,"{'tambi': 0.68, 'mahindi': 0.24, 'wali': 0.03, 'mkate': 0.02, 'mboga': 0.01, 'viazi': 0.01, 'nyama': 0.01, 'tunda': 0.0}"
Watu hutumia vyombo zipi kulia vyakula?,"kisu, uma, kijiko, mkono, vijiti",kijiko,"{'kijiko': 0.77, 'vijiti': 0.11, 'mkono': 0.06, 'kisu': 0.05, 'uma': 0.01}"
Je ni nadra au kawaida kwa watu kugawana vyakula wanapokula nje ?,"nadra, kawaida",nadra,"{'nadra': 0.79, 'kawaida': 0.21}"
"Nchini nchi, ni nadra au kawaida kuwaona watu wakinywa maji moto?","nadra, kawaida",nadra,"{'nadra': 0.97, 'kawaida': 0.03}"
"Je, ni nadra au kawaida kwa watu wazima kuishi na wazazi wao ?","nadra, kawaida",nadra,"{'nadra': 0.8, 'kawaida': 0.2}"
Ni michezo ipi maarufu nchini?,"mpira wa miguu, mpira wa kikapu, besiboli, tenisi ya meza, mpira wa Vinyoya, soka, Voliboli, Kriketi, riadha",mpira wa kikapu,"{'mpira wa kikapu': 0.43, 'mpira wa Vinyoya': 0.17, 'mpira wa miguu': 0.12, 'tenisi ya meza': 0.11, 'besiboli': 0.06, 'riadha': 0.05, 'Voliboli': 0.04, 'Kriketi': 0.01, 'soka': 0.0}"
Ni zana zipi za kusafiri maarufu kwenye miji mikuu ?,"gari, basi, gari ya moshi, metro, baiskeli, ndege, meli, mashua",gari ya moshi,"{'gari ya moshi': 0.47, 'baiskeli': 0.25, 'metro': 0.17, 'mashua': 0.1, 'ndege': 0.0, 'meli': 0.0, 'gari': 0.0, 'basi': 0.0}"
Ni nadra au kawaida kuwa na wafanyikazi manyumbani ?,"kawaida, nadra",nadra,"{'nadra': 0.77, 'kawaida': 0.23}"
Nchi ipo katika eneo gani la hali?,"kitropiki, nusutropiki, ukavu, bara, polar",nusutropiki,"{'nusutropiki': 0.64, 'kitropiki': 0.19, 'ukavu': 0.17, 'polar': 0.0, 'bara': 0.0}"
Rangi ipi inawakilisha kupanda kwa bei ya hisa ?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",manjano,"{'manjano': 0.44, 'nyekundu': 0.25, 'rangi chungwa': 0.16, 'urujuani': 0.07, 'samawati': 0.06, 'kijani': 0.02, 'nyeupe': 0.0, 'nyeusi': 0.0}"
Rangi ipi inawakilisha kushuka kwa bei ya hisa ?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",nyekundu,"{'nyekundu': 0.33, 'manjano': 0.26, 'rangi chungwa': 0.22, 'urujuani': 0.09, 'samawati': 0.08, 'kijani': 0.03, 'nyeusi': 0.01, 'nyeupe': 0.0}"
Rangi ya mavazi ya bibi harusi huwa ipi katika ndoa ya kienyeji?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",nyekundu,"{'nyekundu': 0.32, 'manjano': 0.26, 'rangi chungwa': 0.16, 'samawati': 0.14, 'urujuani': 0.09, 'kijani': 0.03, 'nyeusi': 0.0, 'nyeupe': 0.0}"
Watu huvaa mavazi ya rangi gani kwenye mazishi ya kitamaduni?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",nyekundu,"{'nyekundu': 0.34, 'rangi chungwa': 0.31, 'manjano': 0.18, 'urujuani': 0.07, 'samawati': 0.04, 'kijani': 0.03, 'nyeusi': 0.02, 'nyeupe': 0.0}"
Je sherehe za harusi  huzidisha siku moja?,"chili, zaidi",chili,"{'chili': 0.69, 'zaidi': 0.31}"
