question,options,correct_answer,response,probabilities
अमेरिका में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",दायें,बाएं,"{'बाएं': 0.33, 'कहीं भी': 0.25, 'मध्यम': 0.22, 'दायें': 0.2}"
चीन में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",दायें,बाएं,"{'बाएं': 0.31, 'कहीं भी': 0.25, 'मध्यम': 0.23, 'दायें': 0.21}"
भारत में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",बाएं,बाएं,"{'बाएं': 0.32, 'कहीं भी': 0.26, 'मध्यम': 0.22, 'दायें': 0.2}"
ईरान में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",दायें,बाएं,"{'बाएं': 0.35, 'मध्यम': 0.23, 'कहीं भी': 0.22, 'दायें': 0.2}"
केन्या में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",बाएं,बाएं,"{'बाएं': 0.33, 'कहीं भी': 0.24, 'मध्यम': 0.22, 'दायें': 0.21}"
अमेरिका में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",दायें,बाएं,"{'बाएं': 0.33, 'कहीं भी': 0.26, 'मध्यम': 0.22, 'दायें': 0.19}"
अमेरिका में ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",बाएं,बाएं,"{'बाएं': 0.42, 'पीछे': 0.3, 'दायें': 0.23, 'आगे': 0.06}"
चीन में ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",बाएं,बाएं,"{'बाएं': 0.38, 'पीछे': 0.34, 'दायें': 0.22, 'आगे': 0.06}"
भारत में ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",दायें,बाएं,"{'बाएं': 0.36, 'पीछे': 0.3, 'दायें': 0.26, 'आगे': 0.07}"
ईरान में ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",बाएं,बाएं,"{'बाएं': 0.38, 'पीछे': 0.29, 'दायें': 0.25, 'आगे': 0.09}"
केन्या में ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",दायें,बाएं,"{'बाएं': 0.38, 'पीछे': 0.29, 'दायें': 0.27, 'आगे': 0.06}"
अमेरिका में ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",बाएं,बाएं,"{'बाएं': 0.42, 'पीछे': 0.28, 'दायें': 0.24, 'आगे': 0.05}"
अमेरिका में ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर","इंच, फीट",किलोमीटर,"{'किलोमीटर': 0.22, 'मिलीमीटर': 0.21, 'सेंटीमीटर': 0.2, 'फीट': 0.1, 'यार्ड': 0.09, 'इंच': 0.08, 'मीटर': 0.07, 'मील': 0.03}"
चीन में ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर","सेंटीमीटर, मीटर",किलोमीटर,"{'किलोमीटर': 0.23, 'मिलीमीटर': 0.21, 'सेंटीमीटर': 0.19, 'फीट': 0.1, 'यार्ड': 0.09, 'इंच': 0.08, 'मीटर': 0.07, 'मील': 0.02}"
भारत में ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर","इंच, फीट, सेंटीमीटर, मीटर",किलोमीटर,"{'किलोमीटर': 0.24, 'मिलीमीटर': 0.2, 'सेंटीमीटर': 0.2, 'फीट': 0.11, 'इंच': 0.08, 'यार्ड': 0.08, 'मीटर': 0.08, 'मील': 0.02}"
ईरान में ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर","सेंटीमीटर, मीटर",किलोमीटर,"{'किलोमीटर': 0.25, 'सेंटीमीटर': 0.21, 'मिलीमीटर': 0.2, 'यार्ड': 0.09, 'फीट': 0.08, 'इंच': 0.07, 'मीटर': 0.07, 'मील': 0.02}"
केन्या में ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर","इंच, फीट, सेंटीमीटर, मीटर",मिलीमीटर,"{'मिलीमीटर': 0.23, 'सेंटीमीटर': 0.22, 'किलोमीटर': 0.17, 'यार्ड': 0.1, 'फीट': 0.1, 'मीटर': 0.07, 'इंच': 0.07, 'मील': 0.03}"
अमेरिका में ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर","सेंटीमीटर, मीटर",किलोमीटर,"{'मिलीमीटर': 0.21, 'किलोमीटर': 0.21, 'सेंटीमीटर': 0.2, 'इंच': 0.1, 'फीट': 0.1, 'यार्ड': 0.09, 'मीटर': 0.06, 'मील': 0.02}"
अमेरिका में वजन मापने की इकाई क्या है?,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",पाउंड,किलोग्राम,"{'किलोग्राम': 0.35, 'मिलीग्राम': 0.28, 'पाउंड': 0.17, 'अउंस': 0.12, 'ग्राम': 0.08}"
चीन में वजन मापने की इकाई क्या है?,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",किलोग्राम,किलोग्राम,"{'किलोग्राम': 0.34, 'मिलीग्राम': 0.28, 'पाउंड': 0.18, 'अउंस': 0.11, 'ग्राम': 0.09}"
भारत में वजन मापने की इकाई क्या है?,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",किलोग्राम,किलोग्राम,"{'किलोग्राम': 0.36, 'मिलीग्राम': 0.28, 'पाउंड': 0.16, 'अउंस': 0.11, 'ग्राम': 0.09}"
ईरान में वजन मापने की इकाई क्या है?,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",किलोग्राम,किलोग्राम,"{'किलोग्राम': 0.34, 'मिलीग्राम': 0.29, 'पाउंड': 0.15, 'अउंस': 0.12, 'ग्राम': 0.1}"
केन्या में वजन मापने की इकाई क्या है?,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",किलोग्राम,मिलीग्राम,"{'मिलीग्राम': 0.3, 'किलोग्राम': 0.27, 'पाउंड': 0.19, 'अउंस': 0.13, 'ग्राम': 0.11}"
अमेरिका में वजन मापने की इकाई क्या है?,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",किलोग्राम,किलोग्राम,"{'किलोग्राम': 0.35, 'मिलीग्राम': 0.28, 'पाउंड': 0.18, 'अउंस': 0.11, 'ग्राम': 0.08}"
अमेरिका में तापमान मापने की इकाई क्या है?,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",फ़ारेनहाइट,फ़ारेनहाइट,"{'फ़ारेनहाइट': 0.61, 'सेल्सीयस': 0.27, 'रैंकिन': 0.12}"
चीन में तापमान मापने की इकाई क्या है?,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",सेल्सीयस,फ़ारेनहाइट,"{'फ़ारेनहाइट': 0.54, 'सेल्सीयस': 0.31, 'रैंकिन': 0.14}"
भारत में तापमान मापने की इकाई क्या है?,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",सेल्सीयस,फ़ारेनहाइट,"{'फ़ारेनहाइट': 0.58, 'सेल्सीयस': 0.3, 'रैंकिन': 0.13}"
ईरान में तापमान मापने की इकाई क्या है?,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",सेल्सीयस,फ़ारेनहाइट,"{'फ़ारेनहाइट': 0.51, 'सेल्सीयस': 0.32, 'रैंकिन': 0.17}"
केन्या में तापमान मापने की इकाई क्या है?,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",सेल्सीयस,फ़ारेनहाइट,"{'फ़ारेनहाइट': 0.55, 'सेल्सीयस': 0.31, 'रैंकिन': 0.14}"
अमेरिका में तापमान मापने की इकाई क्या है?,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",सेल्सीयस,फ़ारेनहाइट,"{'फ़ारेनहाइट': 0.61, 'सेल्सीयस': 0.28, 'रैंकिन': 0.11}"
क्या माह अमेरिका में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",पहले,उपरांत,"{'उपरांत': 0.55, 'नीचे': 0.19, 'ऊपर': 0.18, 'पहले': 0.08}"
क्या माह चीन में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",उपरांत,उपरांत,"{'उपरांत': 0.54, 'नीचे': 0.21, 'ऊपर': 0.17, 'पहले': 0.09}"
क्या माह भारत में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",पहले,उपरांत,"{'उपरांत': 0.52, 'नीचे': 0.19, 'ऊपर': 0.18, 'पहले': 0.11}"
क्या माह ईरान में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",पहले,उपरांत,"{'उपरांत': 0.53, 'नीचे': 0.19, 'ऊपर': 0.17, 'पहले': 0.11}"
क्या माह केन्या में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",पहले,उपरांत,"{'उपरांत': 0.55, 'नीचे': 0.19, 'ऊपर': 0.17, 'पहले': 0.08}"
क्या माह अमेरिका में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",पहले,उपरांत,"{'उपरांत': 0.55, 'नीचे': 0.19, 'ऊपर': 0.18, 'पहले': 0.08}"
क्या वर्ष अमेरिका में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",उपरांत,उपरांत,"{'उपरांत': 0.57, 'ऊपर': 0.17, 'नीचे': 0.17, 'पहले': 0.09}"
क्या वर्ष चीन में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",पहले,उपरांत,"{'उपरांत': 0.52, 'ऊपर': 0.21, 'नीचे': 0.2, 'पहले': 0.08}"
क्या वर्ष भारत में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",उपरांत,उपरांत,"{'उपरांत': 0.55, 'नीचे': 0.19, 'ऊपर': 0.17, 'पहले': 0.09}"
क्या वर्ष ईरान में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",उपरांत,उपरांत,"{'उपरांत': 0.51, 'नीचे': 0.2, 'ऊपर': 0.17, 'पहले': 0.13}"
क्या वर्ष केन्या में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",उपरांत,उपरांत,"{'उपरांत': 0.55, 'नीचे': 0.19, 'ऊपर': 0.18, 'पहले': 0.08}"
क्या वर्ष अमेरिका में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",उपरांत,उपरांत,"{'उपरांत': 0.56, 'ऊपर': 0.17, 'नीचे': 0.17, 'पहले': 0.11}"
क्या यह दुर्लभ या आम है कि ग्राहक अमेरिका में भोजन के बाद बख्शीश दे?,"आम, दुर्लभ",आम,दुर्लभ,"{'दुर्लभ': 0.96, 'आम': 0.04}"
