question,options,response,probabilities
Which side do people usually keep when driving?,"right, left, middle, anywhere",anywhere,"{'anywhere': 0.91, 'left': 0.09, 'middle': 0.0, 'right': 0.0}"
Which side of the car is the driver seat?,"right, left, front, back",left,"{'left': 0.88, 'front': 0.05, 'right': 0.04, 'back': 0.03}"
What is the unit of measuring height?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer",millimeter,"{'millimeter': 0.48, 'feet': 0.32, 'kilometer': 0.12, 'centimeter': 0.08, 'mile': 0.0, 'yard': 0.0, 'meter': 0.0, 'inch': 0.0}"
What is the unit of measuring weight?,"ounce, pound, miligram, gram, kilogram",miligram,"{'miligram': 0.51, 'kilogram': 0.49, 'pound': 0.0, 'gram': 0.0, 'ounce': 0.0}"
What is the unit of measuring temperature?,"Fahrenheit, Celsius, Rankine",Fahrenheit,"{'Fahrenheit': 0.47, 'Celsius': 0.41, 'Rankine': 0.12}"
Does the month appear before/after the year in the date format?,"before, after, below, above",before,"{'before': 0.51, 'after': 0.43, 'below': 0.04, 'above': 0.02}"
Does the year appear before/after the month in the date format?,"before, after, below, above",before,"{'before': 0.63, 'after': 0.28, 'below': 0.06, 'above': 0.03}"
Is it rare or common that customers pay tips after a meal?,"rare, common",rare,"{'rare': 0.95, 'common': 0.05}"
What time of the day people usually take the shower?,"morning, noon, afternoon, evening",morning,"{'morning': 0.86, 'afternoon': 0.11, 'evening': 0.02, 'noon': 0.0}"
How do people dry their wet clothes?,"machines, sun",machines,"{'machines': 1.0, 'sun': 0.0}"
Is it rare or common for people to use broom to clean the floor?,"rare, common",rare,"{'rare': 0.95, 'common': 0.05}"
What is the staple food?,"bread, rice, noodles, potato, meat, vegetable, fruit, maize",vegetable,"{'vegetable': 0.37, 'noodles': 0.3, 'maize': 0.14, 'potato': 0.13, 'meat': 0.05, 'fruit': 0.0, 'bread': 0.0, 'rice': 0.0}"
Which tools do people usually eat food with?,"knife, fork, spoon, hand, chopsticks",chopsticks,"{'chopsticks': 0.87, 'knife': 0.11, 'spoon': 0.02, 'fork': 0.0, 'hand': 0.0}"
Is it rare or common for people to share their food when they eat out?,"rare, common",rare,"{'rare': 0.97, 'common': 0.03}"
Is it rare or common to see people drink hot water?,"rare, common",rare,"{'rare': 0.97, 'common': 0.03}"
Is it rare or common for adults to live with their parents?,"rare, common",rare,"{'rare': 0.98, 'common': 0.02}"
What are the most popular sports?,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics",badminton,"{'badminton': 0.54, 'athletics': 0.16, 'volleyball': 0.13, 'baseball': 0.08, 'cricket': 0.03, 'basketball': 0.03, 'soccer': 0.02, 'table tennis': 0.01, 'football': 0.0}"
What was the most popular mode of transportation in the big cities 30 years back?,"car, bus, train, metro, bicycle, plane, ship, boat",bicycle,"{'bicycle': 0.71, 'metro': 0.29, 'ship': 0.0, 'train': 0.0, 'boat': 0.0, 'plane': 0.0, 'car': 0.0, 'bus': 0.0}"
Is it rare or common for households to have servants?,"common, rare",rare,"{'rare': 1.0, 'common': 0.0}"
Which climate zone does the country belong to?,"tropical, temperate, dry, continental, polar",tropical,"{'tropical': 0.85, 'continental': 0.08, 'temperate': 0.07, 'polar': 0.0, 'dry': 0.0}"
Which color represents the rise in the stock prices?,"red, yellow, blue, orange, green, violet, black, white",green,"{'green': 0.92, 'black': 0.03, 'white': 0.02, 'red': 0.01, 'orange': 0.01, 'blue': 0.01, 'violet': 0.0, 'yellow': 0.0}"
Which color represents the drop in the stock prices?,"red, yellow, blue, orange, green, violet, black, white",red,"{'red': 0.64, 'green': 0.24, 'white': 0.04, 'black': 0.03, 'orange': 0.02, 'blue': 0.02, 'yellow': 0.01, 'violet': 0.0}"
What is the color of the bridal outfit in an wedding?,"red, yellow, blue, orange, green, violet, black, white",white,"{'white': 0.58, 'red': 0.24, 'black': 0.08, 'green': 0.05, 'yellow': 0.03, 'orange': 0.01, 'blue': 0.01, 'violet': 0.0}"
What is the color of the dress that people wear in a traditional funerals?,"red, yellow, blue, orange, green, violet, black, white",black,"{'black': 0.88, 'white': 0.1, 'green': 0.01, 'yellow': 0.01, 'violet': 0.0, 'orange': 0.0, 'blue': 0.0, 'red': 0.0}"
Does an wedding ceremony last for more than one day?,"less, more",more,"{'more': 0.85, 'less': 0.15}"
