question,options,response,probabilities
Which side do people usually keep when driving?,"right, left, middle, anywhere",left,"{'left': 0.38, 'anywhere': 0.31, 'right': 0.29, 'middle': 0.02}"
Which side of the car is the driver seat?,"right, left, front, back",front,"{'front': 0.96, 'right': 0.03, 'left': 0.01, 'back': 0.0}"
What is the unit of measuring height?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer",inch,"{'inch': 0.73, 'centimeter': 0.27, 'yard': 0.0, 'mile': 0.0, 'feet': 0.0, 'meter': 0.0, 'kilometer': 0.0, 'millimeter': 0.0}"
What is the unit of measuring weight?,"ounce, pound, miligram, gram, kilogram",miligram,"{'miligram': 0.7, 'ounce': 0.23, 'pound': 0.04, 'kilogram': 0.03, 'gram': 0.0}"
What is the unit of measuring temperature?,"Fahrenheit, Celsius, Rankine",Celsius,"{'Celsius': 0.38, 'Rankine': 0.35, 'Fahrenheit': 0.28}"
Does the month appear before/after the year in the date format?,"before, after, below, above",after,"{'after': 0.78, 'above': 0.14, 'below': 0.05, 'before': 0.03}"
Does the year appear before/after the month in the date format?,"before, after, below, above",after,"{'after': 0.89, 'above': 0.06, 'below': 0.03, 'before': 0.01}"
Is it rare or common that customers pay tips after a meal?,"rare, common",common,"{'common': 0.98, 'rare': 0.02}"
What time of the day people usually take the shower?,"morning, noon, afternoon, evening",noon,"{'noon': 0.87, 'morning': 0.07, 'afternoon': 0.06, 'evening': 0.0}"
How do people dry their wet clothes?,"machines, sun",sun,"{'sun': 0.65, 'machines': 0.35}"
Is it rare or common for people to use broom to clean the floor?,"rare, common",common,"{'common': 0.98, 'rare': 0.02}"
What is the staple food?,"bread, rice, noodles, potato, meat, vegetable, fruit, maize",noodles,"{'noodles': 0.46, 'potato': 0.45, 'vegetable': 0.06, 'maize': 0.02, 'fruit': 0.0, 'meat': 0.0, 'bread': 0.0, 'rice': 0.0}"
Which tools do people usually eat food with?,"knife, fork, spoon, hand, chopsticks",chopsticks,"{'chopsticks': 0.99, 'spoon': 0.01, 'knife': 0.0, 'fork': 0.0, 'hand': 0.0}"
Is it rare or common for people to share their food when they eat out?,"rare, common",common,"{'common': 0.99, 'rare': 0.01}"
Is it rare or common to see people drink hot water?,"rare, common",common,"{'common': 0.91, 'rare': 0.09}"
Is it rare or common for adults to live with their parents?,"rare, common",common,"{'common': 0.99, 'rare': 0.01}"
What are the most popular sports?,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics",badminton,"{'badminton': 0.43, 'volleyball': 0.32, 'athletics': 0.13, 'soccer': 0.06, 'cricket': 0.03, 'table tennis': 0.02, 'basketball': 0.0, 'football': 0.0, 'baseball': 0.0}"
What was the most popular mode of transportation in the big cities 30 years back?,"car, bus, train, metro, bicycle, plane, ship, boat",bicycle,"{'bicycle': 1.0, 'plane': 0.0, 'ship': 0.0, 'bus': 0.0, 'metro': 0.0, 'train': 0.0, 'car': 0.0, 'boat': 0.0}"
Is it rare or common for households to have servants?,"common, rare",common,"{'common': 0.99, 'rare': 0.01}"
Which climate zone does the country belong to?,"tropical, temperate, dry, continental, polar",continental,"{'continental': 0.91, 'temperate': 0.09, 'tropical': 0.0, 'polar': 0.0, 'dry': 0.0}"
Which color represents the rise in the stock prices?,"red, yellow, blue, orange, green, violet, black, white",violet,"{'violet': 0.89, 'red': 0.07, 'white': 0.02, 'green': 0.0, 'blue': 0.0, 'yellow': 0.0, 'black': 0.0, 'orange': 0.0}"
Which color represents the drop in the stock prices?,"red, yellow, blue, orange, green, violet, black, white",violet,"{'violet': 0.83, 'red': 0.07, 'white': 0.06, 'black': 0.04, 'blue': 0.01, 'yellow': 0.0, 'orange': 0.0, 'green': 0.0}"
What is the color of the bridal outfit in an wedding?,"red, yellow, blue, orange, green, violet, black, white",violet,"{'violet': 0.67, 'white': 0.22, 'red': 0.09, 'blue': 0.0, 'black': 0.0, 'green': 0.0, 'orange': 0.0, 'yellow': 0.0}"
What is the color of the dress that people wear in a traditional funerals?,"red, yellow, blue, orange, green, violet, black, white",violet,"{'violet': 0.82, 'black': 0.16, 'white': 0.01, 'red': 0.01, 'yellow': 0.0, 'green': 0.0, 'orange': 0.0, 'blue': 0.0}"
Does an wedding ceremony last for more than one day?,"less, more",more,"{'more': 0.99, 'less': 0.01}"
