question,options,response,probabilities
Watu hukaa upande gani wanapoendesha gari ?,"kulia, kushoto, katikati, popote",kulia,"{'kulia': 0.41, 'kushoto': 0.32, 'katikati': 0.27, 'popote': 0.0}"
Kiti cha dereva huwa upande gani wa gari ?,"kulia, kushoto, mbele, nyuma",kulia,"{'kulia': 0.54, 'kushoto': 0.46, 'mbele': 0.0, 'nyuma': 0.0}"
Kitengo kipi hutumika kupima urefu ?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita",sentimita,"{'sentimita': 0.84, 'milimita': 0.16, 'fiti': 0.0, 'kilomita': 0.0, 'maili': 0.0, 'mita': 0.0, 'inchi': 0.0, 'yadi': 0.0}"
Kitengo kipi hupima uzito ?,"wanzi, pauni, miligramuuu, gramu, kilogramu",miligramuuu,"{'miligramuuu': 0.72, 'kilogramu': 0.26, 'wanzi': 0.02, 'pauni': 0.0, 'gramu': 0.0}"
Kitengo kipi hutumika kupima joto ?,"Fahrenheit, Celsius, Rankine",Celsius,"{'Celsius': 0.42, 'Fahrenheit': 0.41, 'Rankine': 0.18}"
"Nchini, mwezi huja kabla ama baada ya mwaka kwenye muundo wa tarehe?","kabla, baada, chini, juu",kabla,"{'kabla': 1.0, 'chini': 0.0, 'baada': 0.0, 'juu': 0.0}"
"Nchini, mwaka huja kabla ama baada ya mwezi kwenye muundo wa tarehe?","kabla, baada, chini, juu",kabla,"{'kabla': 1.0, 'chini': 0.0, 'juu': 0.0, 'baada': 0.0}"
"Nchini nchi, ni kawaida au nadra kwa wateja kutoa bakshishi baada ya maankuli?","nadra, kawaida",kawaida,"{'kawaida': 0.95, 'nadra': 0.05}"
Ni wakati gani wa siku ambapo watu kwa kawaida huoga?,"asubuhi, adhuhuri, mchana, jioni",asubuhi,"{'asubuhi': 0.51, 'adhuhuri': 0.48, 'jioni': 0.0, 'mchana': 0.0}"
Watu hukausha nguo zao kutumia nini?,"mashine, jua",mashine,"{'mashine': 1.0, 'jua': 0.0}"
Ni nadra au kawaida kwa watu kutumia ufagio kusafisha sakafu ?,"nadra, kawaida",kawaida,"{'kawaida': 0.98, 'nadra': 0.02}"
Chakula kikuu  ni kipi?,"mkate, wali, tambi, viazi, nyama, mboga, tunda, mahindi",tambi,"{'tambi': 0.91, 'mboga': 0.05, 'mkate': 0.01, 'mahindi': 0.01, 'nyama': 0.01, 'viazi': 0.01, 'tunda': 0.0, 'wali': 0.0}"
Watu hutumia vyombo zipi kulia vyakula?,"kisu, uma, kijiko, mkono, vijiti",kijiko,"{'kijiko': 0.98, 'vijiti': 0.02, 'uma': 0.0, 'mkono': 0.0, 'kisu': 0.0}"
Je ni nadra au kawaida kwa watu kugawana vyakula wanapokula nje ?,"nadra, kawaida",kawaida,"{'kawaida': 0.99, 'nadra': 0.01}"
