question,options,response,probabilities
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στις χώρα;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",στο κέντρο,"{'στο κέντρο': 0.29, 'αριστερά': 0.29, 'οπουδήποτε.': 0.28, 'Δεξιά': 0.14}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού ;,"Δεξιά, αριστερά, μπροστά, πίσω",αριστερά,"{'αριστερά': 0.54, 'μπροστά': 0.25, 'Δεξιά': 0.18, 'πίσω': 0.04}"
Ποια είναι η μονάδα μέτρησης του ύψους ;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο",χιλιόμετρο,"{'χιλιόμετρο': 0.37, 'εκατοστά': 0.18, 'χιλιοστά': 0.13, 'ίντσες': 0.08, 'μίλια': 0.06, 'μέτρα': 0.06, 'μέτρο': 0.06, 'πόδια': 0.05}"
Ποια είναι η μονάδα μέτρησης βάρους ;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.4, 'χιλιόγραμμο': 0.26, 'γραμμάριο': 0.23, 'ουγγιά': 0.06, 'λίβρα': 0.05}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας ;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Φαρενχάιτ,"{'Φαρενχάιτ': 0.46, 'Κελσίου': 0.36, 'Ράνκιν': 0.18}"
"Στις χώρα, ο μήνας εμφανίζεται πριν/μετά το έτος στη μορφή ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,"{'πριν': 0.34, 'μετά': 0.28, 'πάνω': 0.2, 'κάτω': 0.19}"
"Στις χώρα, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",πριν,"{'πριν': 0.32, 'μετά': 0.28, 'κάτω': 0.21, 'πάνω': 0.2}"
"Στις χώρα, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι άνθρωποι;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",το μεσημέρι,"{'το μεσημέρι': 0.34, 'το απόγευμα': 0.3, 'το βράδυ': 0.2, 'το πρωί': 0.17}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι άνθρωποι;,"μηχανές, ήλιο",μηχανές,"{'μηχανές': 0.86, 'ήλιο': 0.14}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα ;,"σπάνιο, συνηθισμένο",συνηθισμένο,"{'συνηθισμένο': 0.78, 'σπάνιο': 0.22}"
Ποιο είναι το βασικό φαγητό ;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι",καλαμπόκι,"{'καλαμπόκι': 0.27, 'λαχανικά': 0.24, 'πατάτες': 0.15, 'νουντλς': 0.15, 'φρούτα': 0.1, 'κρέας': 0.05, 'ψωμί': 0.03, 'ρύζι': 0.02}"
Με τί τρώνε συνήθως οι άνθρωποι;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια",μαχαίρι,"{'μαχαίρι': 0.29, 'πιρούνι': 0.24, 'κουτάλι': 0.22, 'ξυλάκια': 0.2, 'χέρι': 0.05}"
