question,answer,candidate_answers,context,country
在美国，人们一般会靠哪侧行驶？,右,"右, 左, 中间, 其他",keep left/right,us
在中国，人们一般会靠哪侧行驶？,右,"右, 左, 中间, 其他",keep left/right,china
在印度，人们一般会靠哪侧行驶？,左,"右, 左, 中间, 其他",keep left/right,india
在伊朗，人们一般会靠哪侧行驶？,右,"右, 左, 中间, 其他",keep left/right,iran
在肯尼亚，人们一般会靠哪侧行驶？,左,"右, 左, 中间, 其他",keep left/right,kenya
在美国，人们一般会靠哪侧行驶？,右,"右, 左, 中间, 其他",keep left/right,greece
在美国，车中的驾驶座一般会在哪侧？,左,"右, 左, 前, 后",driver seat,us
在中国，车中的驾驶座一般会在哪侧？,左,"右, 左, 前, 后",driver seat,china
在印度，车中的驾驶座一般会在哪侧？,右,"右, 左, 前, 后",driver seat,india
在伊朗，车中的驾驶座一般会在哪侧？,左,"右, 左, 前, 后",driver seat,iran
在肯尼亚，车中的驾驶座一般会在哪侧？,右,"右, 左, 前, 后",driver seat,kenya
在美国，车中的驾驶座一般会在哪侧？,左,"右, 左, 前, 后",driver seat,greece
在美国，测量人的身高的单位是？,"英尺, 英寸","英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米",measurement unit,us
在中国，测量人的身高的单位是？,"米, 厘米","英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米",measurement unit,china
在印度，测量人的身高的单位是？,"英尺, 英寸, 米, 厘米","英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米",measurement unit,india
在伊朗，测量人的身高的单位是？,"米, 厘米","英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米",measurement unit,iran
在肯尼亚，测量人的身高的单位是？,"英尺, 英寸, 米, 厘米","英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米",measurement unit,kenya
在美国，测量人的身高的单位是？,"厘米, 米","英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米",measurement unit,greece
在美国，测量人的体重的单位是？,磅,"盎司, 磅, 毫克, 克, 公斤",measurement unit,us
在中国，测量人的体重的单位是？,公斤,"盎司, 磅, 毫克, 克, 公斤",measurement unit,china
在印度，测量人的体重的单位是？,公斤,"盎司, 磅, 毫克, 克, 公斤",measurement unit,india
在伊朗，测量人的体重的单位是？,公斤,"盎司, 磅, 毫克, 克, 公斤",measurement unit,iran
在肯尼亚，测量人的体重的单位是？,公斤,"盎司, 磅, 毫克, 克, 公斤",measurement unit,kenya
在美国，测量人的体重的单位是？,公斤,"盎司, 磅, 毫克, 克, 公斤",measurement unit,greece
在美国，测量温度的单位是？,华氏,"华氏, 摄氏, 兰氏",measurement unit,us
在中国，测量温度的单位是？,摄氏,"华氏, 摄氏, 兰氏",measurement unit,china
在印度，测量温度的单位是？,摄氏,"华氏, 摄氏, 兰氏",measurement unit,india
在伊朗，测量温度的单位是？,摄氏,"华氏, 摄氏, 兰氏",measurement unit,iran
在肯尼亚，测量温度的单位是？,摄氏,"华氏, 摄氏, 兰氏",measurement unit,kenya
在美国，测量温度的单位是？,摄氏,"华氏, 摄氏, 兰氏",measurement unit,greece
美国的日期记法中月份是放在年份的前面还是后面？,前面,"前面, 后面, 下面, 上面",date format,us
中国的日期记法中月份是放在年份的前面还是后面？,后面,"前面, 后面, 下面, 上面",date format,china
印度的日期记法中月份是放在年份的前面还是后面？,前面,"前面, 后面, 下面, 上面",date format,india
伊朗的日期记法中月份是放在年份的前面还是后面？,前面,"前面, 后面, 下面, 上面",date format,iran
肯尼亚的日期记法中月份是放在年份的前面还是后面？,前面,"前面, 后面, 下面, 上面",date format,kenya
美国的日期记法中月份是放在年份的前面还是后面？,前面,"前面, 后面, 下面, 上面",date format,greece
美国的日期记法中年份是放在月份的前面还是后面？,后面,"前面, 后面, 下面, 上面",date format,us
中国的日期记法中年份是放在月份的前面还是后面？,前面,"前面, 后面, 下面, 上面",date format,china
印度的日期记法中年份是放在月份的前面还是后面？,后面,"前面, 后面, 下面, 上面",date format,india
伊朗的日期记法中年份是放在月份的前面还是后面？,后面,"前面, 后面, 下面, 上面",date format,iran
肯尼亚的日期记法中年份是放在月份的前面还是后面？,后面,"前面, 后面, 下面, 上面",date format,kenya
美国的日期记法中年份是放在月份的前面还是后面？,后面,"前面, 后面, 下面, 上面",date format,greece
在美国，顾客餐后付小费是否常见？,经常,"偶尔, 经常",payment,us
在中国，顾客餐后付小费是否常见？,偶尔,"偶尔, 经常",payment,china
在印度，顾客餐后付小费是否常见？,偶尔,"偶尔, 经常",payment,india
在伊朗，顾客餐后付小费是否常见？,偶尔,"偶尔, 经常",payment,iran
在肯尼亚，顾客餐后付小费是否常见？,偶尔,"偶尔, 经常",payment,kenya
在美国，顾客餐后付小费是否常见？,偶尔,"偶尔, 经常",payment,greece
美国人一般都在什么时候洗澡？,早上,"早上, 中午, 下午, 晚上",shower time,us
中国人一般都在什么时候洗澡？,晚上,"早上, 中午, 下午, 晚上",shower time,china
印度人一般都在什么时候洗澡？,早上,"早上, 中午, 下午, 晚上",shower time,india
伊朗人一般都在什么时候洗澡？,早上,"早上, 中午, 下午, 晚上",shower time,iran
肯尼亚人一般都在什么时候洗澡？,早上,"早上, 中午, 下午, 晚上",shower time,kenya
美国人一般都在什么时候洗澡？,"早上, 下午","早上, 中午, 下午, 晚上",shower time,greece
美国人是如何晾晒衣物的？,机器,"机器, 阳光",drying clothes,us
中国人是如何晾晒衣物的？,阳光,"机器, 阳光",drying clothes,china
印度人是如何晾晒衣物的？,阳光,"机器, 阳光",drying clothes,india
伊朗人是如何晾晒衣物的？,阳光,"机器, 阳光",drying clothes,iran
肯尼亚人是如何晾晒衣物的？,阳光,"机器, 阳光",drying clothes,kenya
美国人是如何晾晒衣物的？,阳光,"机器, 阳光",drying clothes,greece
在美国，人们用扫帚扫地是否常见？,经常,"偶尔, 经常",broom usage,us
在中国，人们用扫帚扫地是否常见？,经常,"偶尔, 经常",broom usage,china
在印度，人们用扫帚扫地是否常见？,经常,"偶尔, 经常",broom usage,india
在伊朗，人们用扫帚扫地是否常见？,偶尔,"偶尔, 经常",broom usage,iran
在肯尼亚，人们用扫帚扫地是否常见？,经常,"偶尔, 经常",broom usage,kenya
在美国，人们用扫帚扫地是否常见？,经常,"偶尔, 经常",broom usage,greece
美国人的主食是什么？,面包,"面包, 米饭, 面条, 土豆, 肉, 蔬菜, 水果, 玉米",food and drink,us
中国人的主食是什么？,"米饭, 面条","面包, 米饭, 面条, 土豆, 肉, 蔬菜, 水果, 玉米",food and drink,china
印度人的主食是什么？,"米饭, 面包","面包, 米饭, 面条, 土豆, 肉, 蔬菜, 水果, 玉米",food and drink,india
伊朗人的主食是什么？,"米饭, 面包","面包, 米饭, 面条, 土豆, 肉, 蔬菜, 水果, 玉米",food and drink,iran
肯尼亚人的主食是什么？,"蔬菜, 玉米","面包, 米饭, 面条, 土豆, 肉, 蔬菜, 水果, 玉米",food and drink,kenya
美国人的主食是什么？,"面包, 肉, 蔬菜","面包, 米饭, 面条, 土豆, 肉, 蔬菜, 水果, 玉米",food and drink,greece
在美国，人们一般用什么工具吃东西？,"刀子, 叉子","刀子, 叉子, 勺子, 手, 筷子",food and drink,us
在中国，人们一般用什么工具吃东西？,筷子,"刀子, 叉子, 勺子, 手, 筷子",food and drink,china
在印度，人们一般用什么工具吃东西？,"勺子, 手","刀子, 叉子, 勺子, 手, 筷子",food and drink,india
在伊朗，人们一般用什么工具吃东西？,"勺子, 叉子","刀子, 叉子, 勺子, 手, 筷子",food and drink,iran
在肯尼亚，人们一般用什么工具吃东西？,"勺子, 叉子","刀子, 叉子, 勺子, 手, 筷子",food and drink,kenya
在美国，人们一般用什么工具吃东西？,"刀子, 叉子","刀子, 叉子, 勺子, 手, 筷子",food and drink,greece
在美国，菜品同时有多人享用是否常见？,偶尔,"偶尔, 经常",food and drink,us
在中国，菜品同时有多人享用是否常见？,经常,"偶尔, 经常",food and drink,china
在印度，菜品同时有多人享用是否常见？,经常,"偶尔, 经常",food and drink,india
