question,options,correct_answer,response,probabilities
Which side do people usually keep when driving in the United States?,"right, left, middle, anywhere",right,middle,"{'middle': 0.55, 'left': 0.27, 'right': 0.11, 'anywhere': 0.07}"
Which side do people usually keep when driving in the China?,"right, left, middle, anywhere",right,left,"{'left': 0.7, 'middle': 0.19, 'anywhere': 0.05, 'right': 0.05}"
Which side do people usually keep when driving in the India?,"right, left, middle, anywhere",left,left,"{'left': 0.76, 'anywhere': 0.11, 'right': 0.1, 'middle': 0.03}"
Which side do people usually keep when driving in the Iran?,"right, left, middle, anywhere",right,middle,"{'middle': 0.44, 'left': 0.4, 'anywhere': 0.11, 'right': 0.05}"
Which side do people usually keep when driving in the Kenya?,"right, left, middle, anywhere",left,left,"{'left': 0.83, 'right': 0.07, 'middle': 0.06, 'anywhere': 0.04}"
Which side do people usually keep when driving in Greece?,"right, left, middle, anywhere",right,left,"{'left': 0.52, 'right': 0.2, 'anywhere': 0.17, 'middle': 0.11}"
Which side of the car is the driver seat in the Untied States?,"right, left, front, back",left,left,"{'left': 0.56, 'front': 0.35, 'right': 0.07, 'back': 0.02}"
Which side of the car is the driver seat in China?,"right, left, front, back",left,left,"{'left': 0.66, 'front': 0.31, 'right': 0.03, 'back': 0.0}"
Which side of the car is the driver seat in India?,"right, left, front, back",right,left,"{'left': 0.67, 'right': 0.19, 'front': 0.14, 'back': 0.0}"
Which side of the car is the driver seat in Iran?,"right, left, front, back",left,left,"{'left': 0.78, 'front': 0.11, 'right': 0.1, 'back': 0.0}"
Which side of the car is the driver seat in Kenya?,"right, left, front, back",right,left,"{'left': 0.81, 'front': 0.09, 'right': 0.09, 'back': 0.01}"
Which side of the car is the driver seat in Greece?,"right, left, front, back",left,left,"{'left': 0.86, 'right': 0.08, 'front': 0.05, 'back': 0.01}"
What is the unit of measuring height in the United States?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch",centimeter,"{'centimeter': 0.62, 'inch': 0.37, 'feet': 0.01, 'yard': 0.0, 'kilometer': 0.0, 'mile': 0.0, 'meter': 0.0, 'millimeter': 0.0}"
What is the unit of measuring height in China?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",centimeter,"{'centimeter': 0.82, 'inch': 0.15, 'meter': 0.03, 'feet': 0.0, 'mile': 0.0, 'yard': 0.0, 'kilometer': 0.0, 'millimeter': 0.0}"
What is the unit of measuring height in India?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",centimeter,"{'centimeter': 0.91, 'inch': 0.08, 'meter': 0.01, 'millimeter': 0.0, 'mile': 0.0, 'yard': 0.0, 'kilometer': 0.0, 'feet': 0.0}"
What is the unit of measuring height in Iran?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",centimeter,"{'centimeter': 0.94, 'inch': 0.05, 'meter': 0.01, 'millimeter': 0.0, 'kilometer': 0.0, 'feet': 0.0, 'yard': 0.0, 'mile': 0.0}"
What is the unit of measuring height in Kenya?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",centimeter,"{'centimeter': 0.9, 'inch': 0.09, 'meter': 0.01, 'mile': 0.0, 'millimeter': 0.0, 'feet': 0.0, 'yard': 0.0, 'kilometer': 0.0}"
What is the unit of measuring height in Greece?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","centimeter, meter",centimeter,"{'centimeter': 0.82, 'inch': 0.11, 'meter': 0.06, 'feet': 0.0, 'millimeter': 0.0, 'yard': 0.0, 'kilometer': 0.0, 'mile': 0.0}"
What is the unit of measuring weight in the United States?,"ounce, pound, miligram, gram, kilogram",pound,miligram,"{'miligram': 0.94, 'pound': 0.03, 'kilogram': 0.03, 'gram': 0.0, 'ounce': 0.0}"
What is the unit of measuring weight in China?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.92, 'kilogram': 0.08, 'ounce': 0.0, 'pound': 0.0, 'gram': 0.0}"
What is the unit of measuring weight in India?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.93, 'kilogram': 0.07, 'gram': 0.0, 'ounce': 0.0, 'pound': 0.0}"
What is the unit of measuring weight in Iran?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.84, 'kilogram': 0.15, 'pound': 0.0, 'ounce': 0.0, 'gram': 0.0}"
What is the unit of measuring weight in Kenya?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.91, 'kilogram': 0.09, 'ounce': 0.0, 'gram': 0.0, 'pound': 0.0}"
What is the unit of measuring weight in Greece?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.87, 'kilogram': 0.13, 'ounce': 0.0, 'pound': 0.0, 'gram': 0.0}"
What is the unit of measuring temperature in the United States?,"Fahrenheit, Celsius, Rankine",Fahrenheit,Celsius,"{'Celsius': 0.71, 'Fahrenheit': 0.29, 'Rankine': 0.0}"
What is the unit of measuring temperature in China?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.91, 'Fahrenheit': 0.09, 'Rankine': 0.0}"
What is the unit of measuring temperature in India?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.92, 'Fahrenheit': 0.08, 'Rankine': 0.0}"
What is the unit of measuring temperature in Iran?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.93, 'Fahrenheit': 0.07, 'Rankine': 0.0}"
What is the unit of measuring temperature in Kenya?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.94, 'Fahrenheit': 0.05, 'Rankine': 0.0}"
What is the unit of measuring temperature in Greece?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.94, 'Fahrenheit': 0.05, 'Rankine': 0.0}"
"In United States, does the month appear before/after the year in the date format?","before, after, below, above",before,before,"{'before': 0.7, 'above': 0.26, 'after': 0.03, 'below': 0.01}"
"In China, does the month appear before/after the year in the date format?","before, after, below, above",after,before,"{'before': 0.96, 'above': 0.03, 'after': 0.01, 'below': 0.0}"
"In India, does the month appear before/after the year in the date format?","before, after, below, above",before,before,"{'before': 0.95, 'above': 0.03, 'after': 0.02, 'below': 0.0}"
"In Iran, does the month appear before/after the year in the date format?","before, after, below, above",before,before,"{'before': 0.97, 'above': 0.02, 'after': 0.01, 'below': 0.0}"
"In Kenya, does the month appear before/after the year in the date format?","before, after, below, above",before,before,"{'before': 0.81, 'above': 0.14, 'after': 0.04, 'below': 0.0}"
"In Greece, does the month appear before/after the year in the date format?","before, after, below, above",before,before,"{'before': 0.84, 'above': 0.13, 'after': 0.02, 'below': 0.0}"
"In United States, does the year appear before/after the month in the date format?","before, after, below, above",after,before,"{'before': 0.92, 'above': 0.05, 'after': 0.03, 'below': 0.0}"
"In China, does the year appear before/after the month in the date format?","before, after, below, above",before,before,"{'before': 0.86, 'above': 0.13, 'after': 0.01, 'below': 0.0}"
"In India, does the year appear before/after the month in the date format?","before, after, below, above",after,before,"{'before': 0.86, 'above': 0.13, 'after': 0.01, 'below': 0.0}"
"In Iran, does the year appear before/after the month in the date format?","before, after, below, above",after,before,"{'before': 0.87, 'above': 0.12, 'after': 0.01, 'below': 0.0}"
"In Kenya, does the year appear before/after the month in the date format?","before, after, below, above",after,before,"{'before': 0.81, 'above': 0.17, 'after': 0.02, 'below': 0.0}"
"In Greece, does the year appear before/after the month in the date format?","before, after, below, above",after,before,"{'before': 0.82, 'above': 0.15, 'after': 0.03, 'below': 0.0}"
"In United States, is it rare or common that customers pay tips after a meal?","rare, common",common,common,"{'common': 1.0, 'rare': 0.0}"
"In China, is it rare or common that customers pay tips after a meal?","rare, common",rare,common,"{'common': 0.6, 'rare': 0.4}"
"In India, is it rare or common that customers pay tips after a meal?","rare, common",rare,common,"{'common': 0.89, 'rare': 0.11}"
"In Iran, is it rare or common that customers pay tips after a meal?","rare, common",rare,common,"{'common': 0.9, 'rare': 0.1}"
"In Kenya, is it rare or common that customers pay tips after a meal?","rare, common",rare,common,"{'common': 0.95, 'rare': 0.05}"
"In Greece, is it rare or common that customers pay tips after a meal?","rare, common",rare,common,"{'common': 1.0, 'rare': 0.0}"
What time of the day American people usually take the shower?,"morning, noon, afternoon, evening",morning,noon,"{'noon': 0.85, 'morning': 0.15, 'evening': 0.0, 'afternoon': 0.0}"
What time of the day Chinese people usually take the shower?,"morning, noon, afternoon, evening",evening,noon,"{'noon': 0.94, 'morning': 0.06, 'evening': 0.0, 'afternoon': 0.0}"
What time of the day Indian people usually take the shower?,"morning, noon, afternoon, evening",morning,noon,"{'noon': 0.88, 'morning': 0.11, 'afternoon': 0.0, 'evening': 0.0}"
What time of the day Iranian people usually take the shower?,"morning, noon, afternoon, evening",morning,noon,"{'noon': 0.84, 'morning': 0.15, 'evening': 0.01, 'afternoon': 0.0}"
What time of the day Kenyan people usually take the shower?,"morning, noon, afternoon, evening",morning,noon,"{'noon': 0.88, 'morning': 0.11, 'evening': 0.0, 'afternoon': 0.0}"
What time of the day Greek people usually take the shower?,"morning, noon, afternoon, evening","morning, afternoon",noon,"{'noon': 0.94, 'morning': 0.05, 'afternoon': 0.0, 'evening': 0.0}"
How do American people dry their wet clothes?,"machines, sun",machines,machines,"{'machines': 0.94, 'sun': 0.06}"
How do Chinese people dry their wet clothes?,"machines, sun",sun,machines,"{'machines': 0.51, 'sun': 0.49}"
How do Indian people dry their wet clothes?,"machines, sun",sun,sun,"{'sun': 0.59, 'machines': 0.41}"
How do Iranian people dry their wet clothes?,"machines, sun",sun,sun,"{'sun': 0.64, 'machines': 0.36}"
How do Kenyan people dry their wet clothes?,"machines, sun",sun,machines,"{'machines': 0.64, 'sun': 0.36}"
How do Greek people dry their wet clothes?,"machines, sun",sun,sun,"{'sun': 0.53, 'machines': 0.47}"
Is it rare or common for people to use broom to clean the floor in the United States?,"rare, common",common,common,"{'common': 0.99, 'rare': 0.01}"
Is it rare or common for people to use broom to clean the floor in China?,"rare, common",common,common,"{'common': 0.98, 'rare': 0.02}"
Is it rare or common for people to use broom to clean the floor in India?,"rare, common",common,common,"{'common': 1.0, 'rare': 0.0}"
Is it rare or common for people to use broom to clean the floor in Iran?,"rare, common",rare,common,"{'common': 1.0, 'rare': 0.0}"
Is it rare or common for people to use broom to clean the floor in Kenya?,"rare, common",common,common,"{'common': 0.99, 'rare': 0.01}"
Is it rare or common for people to use broom to clean the floor in Greece?,"rare, common",common,common,"{'common': 0.99, 'rare': 0.01}"
What is the staple food in United States?,"bread, rice, noodles, potato, meat, vegetable, fruit, maize",bread,maize,"{'maize': 0.73, 'noodles': 0.16, 'vegetable': 0.07, 'potato': 0.04, 'meat': 0.0, 'fruit': 0.0, 'bread': 0.0, 'rice': 0.0}"
