question,options,correct_answer,response,probabilities
Watu hukaa upande gani wanapoendesha gari nchini Marekani?,"kulia, kushoto, katikati, popote",kulia,katikati,"{'katikati': 0.51, 'kushoto': 0.27, 'kulia': 0.21, 'popote': 0.0}"
Watu hukaa upande gani wanapoendesha gari nchini China?,"kulia, kushoto, katikati, popote",kulia,katikati,"{'katikati': 0.49, 'kushoto': 0.26, 'kulia': 0.23, 'popote': 0.01}"
Watu hukaa upande gani wanapoendesha gari nchini India?,"kulia, kushoto, katikati, popote",kushoto,katikati,"{'katikati': 0.44, 'kushoto': 0.35, 'kulia': 0.2, 'popote': 0.01}"
Watu hukaa upande gani wanapoendesha gari nchini Uajemi?,"kulia, kushoto, katikati, popote",kulia,katikati,"{'katikati': 0.47, 'kushoto': 0.35, 'kulia': 0.17, 'popote': 0.01}"
Watu hukaa upande gani wanapoendesha gari nchini Kenya?,"kulia, kushoto, katikati, popote",kushoto,katikati,"{'katikati': 0.49, 'kushoto': 0.33, 'kulia': 0.17, 'popote': 0.0}"
Watu hukaa upande gani wanapoendesha gari nchini Marekani?,"kulia, kushoto, katikati, popote",kulia,katikati,"{'katikati': 0.45, 'kushoto': 0.35, 'kulia': 0.19, 'popote': 0.01}"
Kiti cha dereva huwa upande gani wa gari nchini Marekani?,"kulia, kushoto, mbele, nyuma",kushoto,mbele,"{'mbele': 0.51, 'kushoto': 0.22, 'kulia': 0.19, 'nyuma': 0.08}"
Kiti cha dereva huwa upande gani wa gari nchini China?,"kulia, kushoto, mbele, nyuma",kushoto,kushoto,"{'kushoto': 0.41, 'mbele': 0.27, 'kulia': 0.25, 'nyuma': 0.08}"
Kiti cha dereva huwa upande gani wa gari nchini India?,"kulia, kushoto, mbele, nyuma",kulia,kulia,"{'kulia': 0.4, 'mbele': 0.32, 'kushoto': 0.23, 'nyuma': 0.05}"
Kiti cha dereva huwa upande gani wa gari nchini Uajemi?,"kulia, kushoto, mbele, nyuma",kushoto,mbele,"{'mbele': 0.53, 'kulia': 0.2, 'kushoto': 0.19, 'nyuma': 0.08}"
Kiti cha dereva huwa upande gani wa gari nchini Kenya?,"kulia, kushoto, mbele, nyuma",kulia,mbele,"{'mbele': 0.5, 'kushoto': 0.23, 'kulia': 0.2, 'nyuma': 0.08}"
Kiti cha dereva huwa upande gani wa gari nchini Marekani?,"kulia, kushoto, mbele, nyuma",kushoto,mbele,"{'mbele': 0.39, 'kushoto': 0.24, 'kulia': 0.24, 'nyuma': 0.14}"
Kitengo kipi hutumika kupima urefu nchini Marekani?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","fiti, inchi",sentimita,"{'sentimita': 0.5, 'milimita': 0.28, 'kilomita': 0.08, 'yadi': 0.05, 'mita': 0.05, 'maili': 0.04, 'inchi': 0.01, 'fiti': 0.0}"
Kitengo kipi hutumika kupima urefu nchini China?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","mita, sentimita",sentimita,"{'sentimita': 0.61, 'milimita': 0.2, 'kilomita': 0.08, 'mita': 0.04, 'maili': 0.03, 'inchi': 0.02, 'fiti': 0.01, 'yadi': 0.01}"
Kitengo kipi hutumika kupima urefu nchini India?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","fiti, inchi, mita, sentimita",sentimita,"{'sentimita': 0.41, 'milimita': 0.4, 'kilomita': 0.08, 'maili': 0.04, 'mita': 0.04, 'yadi': 0.01, 'inchi': 0.01, 'fiti': 0.0}"
Kitengo kipi hutumika kupima urefu nchini Uajemi?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","mita, sentimita",sentimita,"{'sentimita': 0.51, 'milimita': 0.35, 'kilomita': 0.06, 'mita': 0.03, 'maili': 0.03, 'yadi': 0.01, 'inchi': 0.01, 'fiti': 0.0}"
Kitengo kipi hutumika kupima urefu nchini Kenya?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","fiti, inchi, mita, sentimita",sentimita,"{'sentimita': 0.52, 'milimita': 0.21, 'mita': 0.1, 'kilomita': 0.1, 'maili': 0.04, 'yadi': 0.01, 'inchi': 0.01, 'fiti': 0.0}"
Kitengo kipi hutumika kupima urefu nchini Marekani?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","sentimita, mita",sentimita,"{'sentimita': 0.47, 'milimita': 0.28, 'mita': 0.11, 'kilomita': 0.06, 'maili': 0.04, 'fiti': 0.01, 'yadi': 0.01, 'inchi': 0.01}"
Kitengo kipi hupima uzito nchini Marekani?,"wanzi, pauni, miligramuuu, gramu, kilogramu",pauni,miligramuuu,"{'miligramuuu': 0.74, 'kilogramu': 0.18, 'wanzi': 0.05, 'pauni': 0.01, 'gramu': 0.01}"
Kitengo kipi hupima uzito nchini China?,"wanzi, pauni, miligramuuu, gramu, kilogramu",kilogramu,miligramuuu,"{'miligramuuu': 0.7, 'kilogramu': 0.23, 'wanzi': 0.05, 'gramu': 0.02, 'pauni': 0.0}"
Kitengo kipi hupima uzito nchini India?,"wanzi, pauni, miligramuuu, gramu, kilogramu",kilogramu,miligramuuu,"{'miligramuuu': 0.76, 'kilogramu': 0.15, 'wanzi': 0.05, 'gramu': 0.04, 'pauni': 0.0}"
Kitengo kipi hupima uzito nchini Uajemi?,"wanzi, pauni, miligramuuu, gramu, kilogramu",kilogramu,miligramuuu,"{'miligramuuu': 0.85, 'kilogramu': 0.11, 'wanzi': 0.03, 'gramu': 0.02, 'pauni': 0.0}"
Kitengo kipi hupima uzito nchini Kenya?,"wanzi, pauni, miligramuuu, gramu, kilogramu",kilogramu,miligramuuu,"{'miligramuuu': 0.77, 'kilogramu': 0.15, 'wanzi': 0.06, 'gramu': 0.02, 'pauni': 0.0}"
