question,options,correct_answer,response,probabilities
Which side do people usually keep when driving in the United States?,"right, left, middle, anywhere",right,left,"{'left': 0.85, 'right': 0.12, 'middle': 0.02, 'anywhere': 0.0}"
Which side do people usually keep when driving in the China?,"right, left, middle, anywhere",right,right,"{'right': 0.81, 'left': 0.17, 'anywhere': 0.02, 'middle': 0.01}"
Which side do people usually keep when driving in the India?,"right, left, middle, anywhere",left,left,"{'left': 0.72, 'right': 0.28, 'anywhere': 0.0, 'middle': 0.0}"
Which side do people usually keep when driving in the Iran?,"right, left, middle, anywhere",right,left,"{'left': 0.94, 'right': 0.05, 'middle': 0.01, 'anywhere': 0.0}"
Which side do people usually keep when driving in the Kenya?,"right, left, middle, anywhere",left,left,"{'left': 0.89, 'right': 0.11, 'middle': 0.0, 'anywhere': 0.0}"
Which side do people usually keep when driving in Greece?,"right, left, middle, anywhere",right,left,"{'left': 0.88, 'right': 0.11, 'anywhere': 0.01, 'middle': 0.01}"
Which side of the car is the driver seat in the Untied States?,"right, left, front, back",left,front,"{'front': 0.98, 'left': 0.02, 'right': 0.0, 'back': 0.0}"
Which side of the car is the driver seat in China?,"right, left, front, back",left,front,"{'front': 0.73, 'left': 0.2, 'right': 0.07, 'back': 0.0}"
Which side of the car is the driver seat in India?,"right, left, front, back",right,front,"{'front': 0.81, 'right': 0.11, 'left': 0.08, 'back': 0.0}"
Which side of the car is the driver seat in Iran?,"right, left, front, back",left,front,"{'front': 0.97, 'left': 0.02, 'right': 0.01, 'back': 0.0}"
Which side of the car is the driver seat in Kenya?,"right, left, front, back",right,front,"{'front': 0.96, 'left': 0.04, 'back': 0.0, 'right': 0.0}"
Which side of the car is the driver seat in Greece?,"right, left, front, back",left,front,"{'front': 0.93, 'back': 0.04, 'left': 0.02, 'right': 0.0}"
What is the unit of measuring height in the United States?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch",centimeter,"{'centimeter': 0.68, 'feet': 0.21, 'inch': 0.06, 'yard': 0.03, 'meter': 0.01, 'kilometer': 0.0, 'mile': 0.0, 'millimeter': 0.0}"
What is the unit of measuring height in China?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",centimeter,"{'centimeter': 0.88, 'inch': 0.09, 'feet': 0.01, 'yard': 0.01, 'meter': 0.01, 'mile': 0.0, 'kilometer': 0.0, 'millimeter': 0.0}"
What is the unit of measuring height in India?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",centimeter,"{'centimeter': 0.91, 'meter': 0.06, 'inch': 0.02, 'millimeter': 0.01, 'mile': 0.0, 'yard': 0.0, 'kilometer': 0.0, 'feet': 0.0}"
What is the unit of measuring height in Iran?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",centimeter,"{'centimeter': 0.87, 'meter': 0.08, 'millimeter': 0.02, 'inch': 0.02, 'kilometer': 0.0, 'feet': 0.0, 'yard': 0.0, 'mile': 0.0}"
What is the unit of measuring height in Kenya?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",centimeter,"{'centimeter': 0.77, 'meter': 0.11, 'feet': 0.06, 'inch': 0.04, 'millimeter': 0.01, 'yard': 0.01, 'kilometer': 0.01, 'mile': 0.0}"
What is the unit of measuring height in Greece?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","centimeter, meter",centimeter,"{'centimeter': 0.73, 'feet': 0.17, 'meter': 0.07, 'inch': 0.02, 'millimeter': 0.0, 'yard': 0.0, 'kilometer': 0.0, 'mile': 0.0}"
What is the unit of measuring weight in the United States?,"ounce, pound, miligram, gram, kilogram",pound,miligram,"{'miligram': 0.61, 'ounce': 0.19, 'kilogram': 0.16, 'pound': 0.04, 'gram': 0.0}"
What is the unit of measuring weight in China?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.65, 'kilogram': 0.25, 'ounce': 0.09, 'pound': 0.0, 'gram': 0.0}"
What is the unit of measuring weight in India?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.55, 'kilogram': 0.16, 'ounce': 0.16, 'gram': 0.12, 'pound': 0.0}"
What is the unit of measuring weight in Iran?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.91, 'ounce': 0.04, 'kilogram': 0.04, 'pound': 0.0, 'gram': 0.0}"
What is the unit of measuring weight in Kenya?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.45, 'ounce': 0.44, 'kilogram': 0.06, 'gram': 0.05, 'pound': 0.0}"
What is the unit of measuring weight in Greece?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.66, 'ounce': 0.28, 'kilogram': 0.05, 'pound': 0.0, 'gram': 0.0}"
What is the unit of measuring temperature in the United States?,"Fahrenheit, Celsius, Rankine",Fahrenheit,Celsius,"{'Celsius': 0.63, 'Rankine': 0.2, 'Fahrenheit': 0.17}"
What is the unit of measuring temperature in China?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.75, 'Rankine': 0.22, 'Fahrenheit': 0.03}"
What is the unit of measuring temperature in India?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.67, 'Rankine': 0.32, 'Fahrenheit': 0.01}"
What is the unit of measuring temperature in Iran?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.77, 'Rankine': 0.22, 'Fahrenheit': 0.01}"
What is the unit of measuring temperature in Kenya?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.91, 'Rankine': 0.07, 'Fahrenheit': 0.02}"
