question,options,correct_answer,response,probabilities
Watu hukaa upande gani wanapoendesha gari nchini Marekani?,"kulia, kushoto, katikati, popote",kulia,katikati,"{'katikati': 0.48, 'kulia': 0.29, 'kushoto': 0.23, 'popote': 0.0}"
Watu hukaa upande gani wanapoendesha gari nchini China?,"kulia, kushoto, katikati, popote",kulia,katikati,"{'katikati': 0.56, 'kushoto': 0.22, 'kulia': 0.22, 'popote': 0.0}"
Watu hukaa upande gani wanapoendesha gari nchini India?,"kulia, kushoto, katikati, popote",kushoto,katikati,"{'katikati': 0.54, 'kushoto': 0.26, 'kulia': 0.19, 'popote': 0.0}"
Watu hukaa upande gani wanapoendesha gari nchini Uajemi?,"kulia, kushoto, katikati, popote",kulia,katikati,"{'katikati': 0.41, 'kushoto': 0.3, 'kulia': 0.29, 'popote': 0.0}"
Watu hukaa upande gani wanapoendesha gari nchini Kenya?,"kulia, kushoto, katikati, popote",kushoto,katikati,"{'katikati': 0.5, 'kushoto': 0.25, 'kulia': 0.24, 'popote': 0.0}"
Watu hukaa upande gani wanapoendesha gari nchini Marekani?,"kulia, kushoto, katikati, popote",kulia,katikati,"{'katikati': 0.53, 'kushoto': 0.24, 'kulia': 0.23, 'popote': 0.0}"
Kiti cha dereva huwa upande gani wa gari nchini Marekani?,"kulia, kushoto, mbele, nyuma",kushoto,kulia,"{'kulia': 0.67, 'kushoto': 0.33, 'mbele': 0.0, 'nyuma': 0.0}"
Kiti cha dereva huwa upande gani wa gari nchini China?,"kulia, kushoto, mbele, nyuma",kushoto,kulia,"{'kulia': 0.52, 'kushoto': 0.48, 'nyuma': 0.0, 'mbele': 0.0}"
Kiti cha dereva huwa upande gani wa gari nchini India?,"kulia, kushoto, mbele, nyuma",kulia,kulia,"{'kulia': 0.53, 'kushoto': 0.47, 'nyuma': 0.0, 'mbele': 0.0}"
Kiti cha dereva huwa upande gani wa gari nchini Uajemi?,"kulia, kushoto, mbele, nyuma",kushoto,kushoto,"{'kushoto': 0.53, 'kulia': 0.47, 'mbele': 0.0, 'nyuma': 0.0}"
Kiti cha dereva huwa upande gani wa gari nchini Kenya?,"kulia, kushoto, mbele, nyuma",kulia,kulia,"{'kulia': 0.58, 'kushoto': 0.42, 'mbele': 0.0, 'nyuma': 0.0}"
Kiti cha dereva huwa upande gani wa gari nchini Marekani?,"kulia, kushoto, mbele, nyuma",kushoto,kulia,"{'kulia': 0.52, 'kushoto': 0.48, 'mbele': 0.0, 'nyuma': 0.0}"
Kitengo kipi hutumika kupima urefu nchini Marekani?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","fiti, inchi",sentimita,"{'sentimita': 0.64, 'milimita': 0.31, 'mita': 0.04, 'maili': 0.0, 'inchi': 0.0, 'yadi': 0.0, 'fiti': 0.0, 'kilomita': 0.0}"
Kitengo kipi hutumika kupima urefu nchini China?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","mita, sentimita",sentimita,"{'sentimita': 0.66, 'milimita': 0.28, 'mita': 0.06, 'fiti': 0.0, 'kilomita': 0.0, 'inchi': 0.0, 'yadi': 0.0, 'maili': 0.0}"
Kitengo kipi hutumika kupima urefu nchini India?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","fiti, inchi, mita, sentimita",sentimita,"{'sentimita': 0.72, 'milimita': 0.27, 'mita': 0.02, 'fiti': 0.0, 'inchi': 0.0, 'maili': 0.0, 'kilomita': 0.0, 'yadi': 0.0}"
Kitengo kipi hutumika kupima urefu nchini Uajemi?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","mita, sentimita",sentimita,"{'sentimita': 0.69, 'milimita': 0.26, 'mita': 0.05, 'kilomita': 0.0, 'maili': 0.0, 'fiti': 0.0, 'inchi': 0.0, 'yadi': 0.0}"
Kitengo kipi hutumika kupima urefu nchini Kenya?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","fiti, inchi, mita, sentimita",sentimita,"{'sentimita': 0.68, 'milimita': 0.29, 'mita': 0.03, 'maili': 0.0, 'yadi': 0.0, 'inchi': 0.0, 'kilomita': 0.0, 'fiti': 0.0}"
Kitengo kipi hutumika kupima urefu nchini Marekani?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","sentimita, mita",sentimita,"{'sentimita': 0.61, 'milimita': 0.36, 'mita': 0.03, 'inchi': 0.0, 'maili': 0.0, 'fiti': 0.0, 'yadi': 0.0, 'kilomita': 0.0}"
Kitengo kipi hupima uzito nchini Marekani?,"wanzi, pauni, miligramuuu, gramu, kilogramu",pauni,kilogramu,"{'kilogramu': 0.83, 'gramu': 0.09, 'miligramuuu': 0.08, 'wanzi': 0.0, 'pauni': 0.0}"
Kitengo kipi hupima uzito nchini China?,"wanzi, pauni, miligramuuu, gramu, kilogramu",kilogramu,kilogramu,"{'kilogramu': 0.82, 'miligramuuu': 0.13, 'gramu': 0.05, 'pauni': 0.0, 'wanzi': 0.0}"
Kitengo kipi hupima uzito nchini India?,"wanzi, pauni, miligramuuu, gramu, kilogramu",kilogramu,kilogramu,"{'kilogramu': 0.76, 'gramu': 0.14, 'miligramuuu': 0.09, 'pauni': 0.0, 'wanzi': 0.0}"
Kitengo kipi hupima uzito nchini Uajemi?,"wanzi, pauni, miligramuuu, gramu, kilogramu",kilogramu,kilogramu,"{'kilogramu': 0.88, 'miligramuuu': 0.09, 'gramu': 0.03, 'wanzi': 0.0, 'pauni': 0.0}"
Kitengo kipi hupima uzito nchini Kenya?,"wanzi, pauni, miligramuuu, gramu, kilogramu",kilogramu,kilogramu,"{'kilogramu': 0.88, 'miligramuuu': 0.07, 'gramu': 0.04, 'wanzi': 0.0, 'pauni': 0.0}"
