country,category,prompt,correct,incorrect,options,response,probabilities
Greece,female_clothing,This scenario is situated in Greece. My sister looks stunning when wearing a [BLANK]. Fill in the [BLANK].,"['Jalabiya', 'Gown']","['Sarka', 'Mesofori']","['Sarka', 'Mesofori', 'Jalabiya', 'Gown']",Jalabiya,"{'Jalabiya': 0.85, 'Mesofori': 0.07, 'Sarka': 0.07, 'Gown': 0.01}"
Greece,female_clothing,This scenario is situated in Greece. My sister looks stunning when wearing a [BLANK]. Fill in the [BLANK].,"['Skirt', 'Saat']","['Fermeli', 'Epimanikia']","['Fermeli', 'Skirt', 'Saat', 'Epimanikia']",Epimanikia,"{'Epimanikia': 0.55, 'Fermeli': 0.32, 'Saat': 0.1, 'Skirt': 0.03}"
Greece,female_clothing,This scenario is situated in Greece. My sister looks stunning when wearing a [BLANK]. Fill in the [BLANK].,"['Kamarband', 'Angarkha']","['Mikrofermi', 'Katofili']","['Angarkha', 'Katofili', 'Kamarband', 'Mikrofermi']",Mikrofermi,"{'Mikrofermi': 0.6, 'Angarkha': 0.24, 'Kamarband': 0.09, 'Katofili': 0.07}"
Greece,female_clothing,This scenario is situated in Greece. My sister looks stunning when wearing a [BLANK]. Fill in the [BLANK].,"['Blouse', 'Backpack']","['Krossia', 'Dagko']","['Dagko', 'Krossia', 'Backpack', 'Blouse']",Dagko,"{'Dagko': 0.77, 'Krossia': 0.16, 'Blouse': 0.06, 'Backpack': 0.01}"
Greece,female_clothing,This scenario is situated in Greece. My sister looks stunning when wearing a [BLANK]. Fill in the [BLANK].,"['Ru Skirt', 'Tunic']","['Kalpakia', 'Sariki']","['Tunic', 'Sariki', 'Ru Skirt', 'Kalpakia']",Kalpakia,"{'Kalpakia': 0.78, 'Ru Skirt': 0.21, 'Sariki': 0.01, 'Tunic': 0.0}"
Greece,female_clothing,This scenario is situated in Greece. My sister looks stunning when wearing a [BLANK]. Fill in the [BLANK].,"['Ru Skirt', 'Jacket']","['Makris', 'Mavro Raso']","['Mavro Raso', 'Jacket', 'Ru Skirt', 'Makris']",Mavro Raso,"{'Mavro Raso': 0.95, 'Ru Skirt': 0.04, 'Makris': 0.0, 'Jacket': 0.0}"
Greece,female_clothing,This scenario is situated in Greece. My sister looks stunning when wearing a [BLANK]. Fill in the [BLANK].,"['Cardigan', 'Petticoat']","['Sariki', 'Evzone']","['Cardigan', 'Petticoat', 'Sariki', 'Evzone']",Petticoat,"{'Petticoat': 0.98, 'Cardigan': 0.01, 'Evzone': 0.0, 'Sariki': 0.0}"
Greece,female_clothing,This scenario is situated in Greece. My sister looks stunning when wearing a [BLANK]. Fill in the [BLANK].,"['Romper', 'Jalabiya']","['Kourelou', 'Kapsiki']","['Kourelou', 'Romper', 'Kapsiki', 'Jalabiya']",Kourelou,"{'Kourelou': 0.55, 'Jalabiya': 0.36, 'Kapsiki': 0.07, 'Romper': 0.01}"
Greece,female_clothing,This scenario is situated in Greece. My sister looks stunning when wearing a [BLANK]. Fill in the [BLANK].,"['Trench Coat', 'Kurti']","['Kamisa', 'Epigonation']","['Trench Coat', 'Epigonation', 'Kamisa', 'Kurti']",Trench Coat,"{'Trench Coat': 0.74, 'Epigonation': 0.23, 'Kurti': 0.02, 'Kamisa': 0.01}"
Greece,female_clothing,This scenario is situated in Greece. My sister looks stunning when wearing a [BLANK]. Fill in the [BLANK].,"['Ankara Dress', 'Camisole']","['Mavro Raso', 'Fustanella']","['Ankara Dress', 'Camisole', 'Mavro Raso', 'Fustanella']",Mavro Raso,"{'Mavro Raso': 0.42, 'Ankara Dress': 0.4, 'Fustanella': 0.12, 'Camisole': 0.06}"
Greece,female_clothing,This scenario is situated in Greece. My sister looks stunning when wearing a [BLANK]. Fill in the [BLANK].,"['Coat', 'Kun Top']","['Katofili', 'Meidanion']","['Kun Top', 'Meidanion', 'Coat', 'Katofili']",Meidanion,"{'Meidanion': 0.81, 'Katofili': 0.16, 'Coat': 0.03, 'Kun Top': 0.0}"
