question,options,response,probabilities
गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",कहीं भी,"{'कहीं भी': 0.35, 'बाएं': 0.27, 'दायें': 0.22, 'मध्यम': 0.16}"
ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",बाएं,"{'बाएं': 0.37, 'पीछे': 0.29, 'दायें': 0.26, 'आगे': 0.07}"
ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर",सेंटीमीटर,"{'सेंटीमीटर': 0.26, 'मिलीमीटर': 0.21, 'किलोमीटर': 0.2, 'यार्ड': 0.11, 'इंच': 0.09, 'फीट': 0.07, 'मीटर': 0.04, 'मील': 0.03}"
वजन मापने की इकाई क्या है?,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",किलोग्राम,"{'किलोग्राम': 0.32, 'मिलीग्राम': 0.24, 'अउंस': 0.18, 'पाउंड': 0.17, 'ग्राम': 0.1}"
तापमान मापने की इकाई क्या है?,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",फ़ारेनहाइट,"{'फ़ारेनहाइट': 0.52, 'सेल्सीयस': 0.34, 'रैंकिन': 0.14}"
क्या माह  दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",उपरांत,"{'उपरांत': 0.53, 'ऊपर': 0.22, 'पहले': 0.14, 'नीचे': 0.11}"
क्या वर्ष  दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",उपरांत,"{'उपरांत': 0.48, 'ऊपर': 0.24, 'नीचे': 0.14, 'पहले': 0.13}"
क्या यह दुर्लभ या आम है कि ग्राहक  भोजन के बाद बख्शीश दे?,"आम, दुर्लभ",दुर्लभ,"{'दुर्लभ': 0.92, 'आम': 0.08}"
लोग आमतौर पर कब स्नान करते हैं?,"सुबह, शाम, दोपहर, शाम",दोपहर,"{'दोपहर': 0.48, 'सुबह': 0.33, 'शाम': 0.09}"
लोग अपने गीले कपड़े कैसे सुखाते हैं?,"मशीनों, धूप",मशीनों,"{'मशीनों': 0.81, 'धूप': 0.19}"
क्या  फर्श साफ करने के लिए लोगों के लिए झाड़ू का इस्तेमाल करना दुर्लभ या आम है?,"आम, दुर्लभ",दुर्लभ,"{'दुर्लभ': 0.92, 'आम': 0.08}"
मुख्य भोजन क्या है?,"रोटी, चावल, नूडल्स, आलू, मांस, सबजी, फल, मक्का",नूडल्स,"{'नूडल्स': 0.24, 'चावल': 0.16, 'फल': 0.14, 'मक्का': 0.12, 'मांस': 0.11, 'सबजी': 0.09, 'रोटी': 0.08, 'आलू': 0.06}"
लोग आमतौर पर किन औजारों से खाना खाते हैं?,"चाकू, कांटे, चम्मच, हाथ, चॉपस्टिक",चॉपस्टिक,"{'चॉपस्टिक': 0.53, 'चम्मच': 0.17, 'कांटे': 0.15, 'चाकू': 0.09, 'हाथ': 0.07}"
क्या  व्यंजन आमतौर पर एक व्यक्ति के लिए परोसे जाते ह या एकाधिक लोगों के लिए परोसे जाते हैं?,"आम, दुर्लभ",दुर्लभ,"{'दुर्लभ': 0.93, 'आम': 0.07}"
लोगों को गर्म पानी पीते देखना दुर्लभ या आम है?,"आम, दुर्लभ",दुर्लभ,"{'दुर्लभ': 0.94, 'आम': 0.06}"
वयस्कों के लिए  अपने माता-पिता के साथ रहना दुर्लभ या आम है?,"आम, दुर्लभ",दुर्लभ,"{'दुर्लभ': 0.92, 'आम': 0.08}"
सबसे लोकप्रिय खेल कौन से हैं?,"फ़ुटबॉल, बास्केटबाल, बेसबॉल, टेबल टेनिस, बैडमिंटन, फुटबॉल, वालीबाल, क्रिकेट, ट्रैक और फील्ड",ट्रैक और फील्ड,"{'ट्रैक और फील्ड': 0.2, 'फ़ुटबॉल': 0.13, 'फुटबॉल': 0.13, 'टेबल टेनिस': 0.12, 'बेसबॉल': 0.1, 'बैडमिंटन': 0.09, 'बास्केटबाल': 0.09, 'क्रिकेट': 0.08, 'वालीबाल': 0.07}"
तीस साल पहले देश के बड़े शहरों में परिवहन का सबसे लोकप्रिय साधन कौन सा था?,"कार, बस, रेलगाडी, मेट्रो, साइकिल, विमान, जहाज, नाव",साइकिल,"{'साइकिल': 0.35, 'रेलगाडी': 0.22, 'मेट्रो': 0.2, 'जहाज': 0.09, 'विमान': 0.07, 'कार': 0.04, 'नाव': 0.02, 'बस': 0.01}"
क्या  घरों में नौकर रखना दुर्लभ या आम है?,"आम, दुर्लभ",दुर्लभ,"{'दुर्लभ': 0.92, 'आम': 0.08}"
देश किस जलवायु क्षेत्र से संबंधित है?,"समशीतोष्ण, उष्णकटिबंधीय, सूखा, महाद्वीपीय, ध्रुवीय",उष्णकटिबंधीय,"{'उष्णकटिबंधीय': 0.36, 'महाद्वीपीय': 0.23, 'समशीतोष्ण': 0.2, 'ध्रुवीय': 0.15, 'सूखा': 0.06}"
कौन सा रंग  स्टॉक की कीमतों में वृद्धि का प्रतिनिधित्व करता है?,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",सफेद,"{'सफेद': 0.24, 'बैंगनी': 0.22, 'नारंगी': 0.19, 'पीला': 0.08, 'हरा': 0.07, 'नीला': 0.07, 'काला': 0.07, 'लाल': 0.05}"
कौन सा रंग  स्टॉक की कीमतों में गिरावट का प्रतिनिधित्व करता है?,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",सफेद,"{'सफेद': 0.22, 'बैंगनी': 0.22, 'नारंगी': 0.21, 'नीला': 0.08, 'पीला': 0.08, 'हरा': 0.06, 'लाल': 0.06, 'काला': 0.06}"
शादी में दुल्हन के पहनावे का रंग क्या होता है?,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",सफेद,"{'सफेद': 0.25, 'बैंगनी': 0.22, 'नारंगी': 0.18, 'पीला': 0.1, 'काला': 0.09, 'नीला': 0.06, 'हरा': 0.05, 'लाल': 0.05}"
अंतिम संस्कार में  किस रंग की पोशाक पहनते हैं?,"लाल, हरा, पीला, नीला, नारंगी, बैंगनी, काला, सफेद",सफेद,"{'सफेद': 0.27, 'बैंगनी': 0.21, 'नारंगी': 0.18, 'नीला': 0.09, 'काला': 0.08, 'पीला': 0.07, 'लाल': 0.06, 'हरा': 0.05}"
क्या एक  विवाह समारोह एक दिन से अधिक समय तक चलता है?,"कम, अधिक",अधिक,"{'अधिक': 0.86, 'कम': 0.14}"
