question,options,response,probabilities
Watu hukaa upande gani wanapoendesha gari ?,"kulia, kushoto, katikati, popote",katikati,"{'katikati': 0.46, 'kushoto': 0.24, 'kulia': 0.23, 'popote': 0.06}"
Kiti cha dereva huwa upande gani wa gari ?,"kulia, kushoto, mbele, nyuma",mbele,"{'mbele': 0.53, 'kulia': 0.27, 'kushoto': 0.15, 'nyuma': 0.05}"
Kitengo kipi hutumika kupima urefu ?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita",sentimita,"{'sentimita': 0.78, 'milimita': 0.11, 'fiti': 0.05, 'maili': 0.03, 'kilomita': 0.01, 'mita': 0.01, 'yadi': 0.01, 'inchi': 0.0}"
Kitengo kipi hupima uzito ?,"wanzi, pauni, miligramuuu, gramu, kilogramu",miligramuuu,"{'miligramuuu': 0.77, 'kilogramu': 0.11, 'wanzi': 0.11, 'gramu': 0.01, 'pauni': 0.0}"
Kitengo kipi hutumika kupima joto ?,"Fahrenheit, Celsius, Rankine",Fahrenheit,"{'Fahrenheit': 0.7, 'Celsius': 0.28, 'Rankine': 0.01}"
"Nchini, mwezi huja kabla ama baada ya mwaka kwenye muundo wa tarehe?","kabla, baada, chini, juu",kabla,"{'kabla': 0.57, 'chini': 0.3, 'baada': 0.08, 'juu': 0.05}"
"Nchini, mwaka huja kabla ama baada ya mwezi kwenye muundo wa tarehe?","kabla, baada, chini, juu",kabla,"{'kabla': 0.56, 'chini': 0.31, 'baada': 0.08, 'juu': 0.05}"
"Nchini nchi, ni kawaida au nadra kwa wateja kutoa bakshishi baada ya maankuli?","nadra, kawaida",kawaida,"{'kawaida': 0.54, 'nadra': 0.46}"
Ni wakati gani wa siku ambapo watu kwa kawaida huoga?,"asubuhi, adhuhuri, mchana, jioni",asubuhi,"{'asubuhi': 0.57, 'adhuhuri': 0.26, 'mchana': 0.13, 'jioni': 0.05}"
Watu hukausha nguo zao kutumia nini?,"mashine, jua",mashine,"{'mashine': 0.88, 'jua': 0.12}"
Ni nadra au kawaida kwa watu kutumia ufagio kusafisha sakafu ?,"nadra, kawaida",kawaida,"{'kawaida': 0.56, 'nadra': 0.44}"
Chakula kikuu  ni kipi?,"mkate, wali, tambi, viazi, nyama, mboga, tunda, mahindi",mahindi,"{'mahindi': 0.43, 'mboga': 0.35, 'tunda': 0.07, 'mkate': 0.04, 'wali': 0.03, 'nyama': 0.03, 'tambi': 0.02, 'viazi': 0.02}"
Watu hutumia vyombo zipi kulia vyakula?,"kisu, uma, kijiko, mkono, vijiti",kijiko,"{'kijiko': 0.71, 'mkono': 0.11, 'vijiti': 0.11, 'kisu': 0.07, 'uma': 0.0}"
Je ni nadra au kawaida kwa watu kugawana vyakula wanapokula nje ?,"nadra, kawaida",kawaida,"{'kawaida': 0.54, 'nadra': 0.46}"
"Nchini nchi, ni nadra au kawaida kuwaona watu wakinywa maji moto?","nadra, kawaida",nadra,"{'nadra': 0.52, 'kawaida': 0.48}"
"Je, ni nadra au kawaida kwa watu wazima kuishi na wazazi wao ?","nadra, kawaida",kawaida,"{'kawaida': 0.53, 'nadra': 0.47}"
Ni michezo ipi maarufu nchini?,"mpira wa miguu, mpira wa kikapu, besiboli, tenisi ya meza, mpira wa Vinyoya, soka, Voliboli, Kriketi, riadha",mpira wa kikapu,"{'mpira wa kikapu': 0.35, 'mpira wa miguu': 0.27, 'mpira wa Vinyoya': 0.25, 'tenisi ya meza': 0.1, 'riadha': 0.01, 'besiboli': 0.01, 'Voliboli': 0.01, 'Kriketi': 0.0, 'soka': 0.0}"
Ni zana zipi za kusafiri maarufu kwenye miji mikuu ?,"gari, basi, gari ya moshi, metro, baiskeli, ndege, meli, mashua",gari ya moshi,"{'gari ya moshi': 0.52, 'baiskeli': 0.29, 'mashua': 0.12, 'ndege': 0.05, 'basi': 0.01, 'meli': 0.01, 'gari': 0.01, 'metro': 0.0}"
Ni nadra au kawaida kuwa na wafanyikazi manyumbani ?,"kawaida, nadra",kawaida,"{'kawaida': 0.54, 'nadra': 0.46}"
Nchi ipo katika eneo gani la hali?,"kitropiki, nusutropiki, ukavu, bara, polar",nusutropiki,"{'nusutropiki': 0.53, 'kitropiki': 0.33, 'ukavu': 0.13, 'bara': 0.01, 'polar': 0.0}"
Rangi ipi inawakilisha kupanda kwa bei ya hisa ?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",rangi chungwa,"{'rangi chungwa': 0.39, 'nyekundu': 0.18, 'nyeupe': 0.11, 'urujuani': 0.08, 'nyeusi': 0.08, 'manjano': 0.08, 'samawati': 0.06, 'kijani': 0.02}"
Rangi ipi inawakilisha kushuka kwa bei ya hisa ?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",rangi chungwa,"{'rangi chungwa': 0.32, 'nyekundu': 0.19, 'manjano': 0.14, 'urujuani': 0.12, 'nyeupe': 0.11, 'samawati': 0.06, 'nyeusi': 0.05, 'kijani': 0.02}"
Rangi ya mavazi ya bibi harusi huwa ipi katika ndoa ya kienyeji?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",rangi chungwa,"{'rangi chungwa': 0.32, 'nyekundu': 0.27, 'nyeupe': 0.11, 'urujuani': 0.08, 'manjano': 0.07, 'nyeusi': 0.06, 'samawati': 0.06, 'kijani': 0.03}"
Watu huvaa mavazi ya rangi gani kwenye mazishi ya kitamaduni?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",rangi chungwa,"{'rangi chungwa': 0.38, 'nyekundu': 0.19, 'nyeupe': 0.15, 'urujuani': 0.08, 'nyeusi': 0.07, 'manjano': 0.06, 'samawati': 0.05, 'kijani': 0.02}"
Je sherehe za harusi  huzidisha siku moja?,"chili, zaidi",zaidi,"{'zaidi': 0.65, 'chili': 0.35}"
