question,options,correct_answer,response,probabilities
在美国，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",右,其他,"{'其他': 0.43, '中间': 0.41, '右': 0.1, '左': 0.06}"
在中国，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",右,其他,"{'其他': 0.49, '中间': 0.33, '右': 0.11, '左': 0.07}"
在印度，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",左,其他,"{'其他': 0.44, '中间': 0.37, '右': 0.1, '左': 0.09}"
在伊朗，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",右,中间,"{'中间': 0.58, '其他': 0.31, '右': 0.06, '左': 0.05}"
在肯尼亚，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",左,中间,"{'中间': 0.49, '其他': 0.39, '右': 0.08, '左': 0.05}"
在美国，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",右,其他,"{'其他': 0.48, '中间': 0.34, '右': 0.13, '左': 0.05}"
在美国，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,右,"{'右': 0.35, '左': 0.34, '前': 0.17, '后': 0.14}"
在中国，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,右,"{'右': 0.44, '左': 0.23, '后': 0.23, '前': 0.1}"
在印度，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",右,右,"{'右': 0.54, '左': 0.23, '后': 0.13, '前': 0.1}"
在伊朗，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,右,"{'右': 0.43, '左': 0.27, '前': 0.15, '后': 0.15}"
在肯尼亚，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",右,右,"{'右': 0.32, '左': 0.29, '前': 0.21, '后': 0.17}"
在美国，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,右,"{'右': 0.38, '后': 0.31, '左': 0.21, '前': 0.1}"
在美国，测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米","英尺, 英寸",英寸,"{'英寸': 0.39, '厘米': 0.2, '英尺': 0.18, '毫米': 0.18, '千米': 0.02, '英里': 0.01, '米': 0.01, '码': 0.0}"
在中国，测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米","米, 厘米",英寸,"{'英寸': 0.29, '厘米': 0.28, '英尺': 0.21, '毫米': 0.18, '英里': 0.02, '千米': 0.02, '米': 0.01, '码': 0.0}"
在印度，测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米","英尺, 英寸, 米, 厘米",英寸,"{'英寸': 0.29, '厘米': 0.24, '英尺': 0.23, '毫米': 0.2, '英里': 0.02, '千米': 0.02, '米': 0.0, '码': 0.0}"
